_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
fMczDoj5RPqXkGfWk,1,simple,true,2024-05-20T17:01:22Z,2024-05-20T17:16:30Z,finished,,kTdARJS6BQKSH5YkW,2024-05-20T17:01:01Z,2024-05-20T17:45:27Z
iWKvmRRubwBdSWENZ,2,simple,true,2024-05-20T17:01:23Z,2024-05-20T17:16:52Z,finished,,thQjeggqeanREQ6F7,2024-05-20T17:01:03Z,2024-05-20T17:45:27Z
zgJBiL9wHqieXgQ88,3,simple,true,2024-05-20T17:01:24Z,2024-05-20T17:16:25Z,finished,,iHS7hTGpsg3bCPXvF,2024-05-20T17:01:03Z,2024-05-20T17:45:27Z
yyDD9ZPKg2f4dWT6L,4,simple,true,2024-05-20T17:01:24Z,2024-05-20T17:23:36Z,finished,,PGQzAWoLzqYS9soap,2024-05-20T17:01:04Z,2024-05-20T17:45:27Z
H4ugPK2J77MQtEiuA,5,simple,true,2024-05-20T17:01:25Z,2024-05-20T17:31:27Z,finished,,NwuRNfDwCmA7P3YyG,2024-05-20T17:01:05Z,2024-05-20T17:45:27Z
S9azEX5cGrkqntFKR,6,simple,true,2024-05-20T17:01:25Z,2024-05-20T17:21:14Z,finished,,uKGckEJSrLnBCzZHA,2024-05-20T17:01:05Z,2024-05-20T17:45:28Z
GawJut7Gm8LeEHj5s,7,simple,true,2024-05-20T17:01:26Z,2024-05-20T17:21:21Z,finished,,pqiRYp96hDRJj73g7,2024-05-20T17:01:06Z,2024-05-20T17:45:28Z
KwBq9ti8hhKWDH247,8,simple,true,2024-05-20T17:01:27Z,2024-05-20T17:22:47Z,finished,,PzPjHc5yE8EgPT6AJ,2024-05-20T17:01:06Z,2024-05-20T17:45:28Z
8PPC65aNJnwTGF4zq,9,simple,true,2024-05-20T17:01:28Z,2024-05-20T17:37:57Z,finished,,5EjqwQ7zx4aQz3qNQ,2024-05-20T17:01:19Z,2024-05-20T17:45:28Z
fQo7KpMNC7nppLtt7,10,simple,false,2024-05-20T17:01:28Z,,cancelled,,tBmyYsACpdCx7bocE,2024-05-20T17:01:19Z,2024-05-20T17:45:26Z
qjgwMWNfqJ5Z5z75X,11,simple,false,2024-05-20T17:01:29Z,,cancelled,,5cKRpPhAT74tXCdyw,2024-05-20T17:01:20Z,2024-05-20T17:45:26Z
bipCNrr4ZYLzbsWf6,12,simple,false,2024-05-20T17:01:31Z,,cancelled,,oQG8GcMNaK6N777fq,2024-05-20T17:01:20Z,2024-05-20T17:45:26Z
q2GxDnJKFgerezx3W,13,simple,false,2024-05-20T17:45:45Z,,cancelled,,h3A5tCdv3B6e9D8Nw,2024-05-20T17:45:33Z,2024-05-20T19:39:35Z
cKkMWbMazXPNBBp9N,14,simple,false,2024-05-20T17:45:44Z,,cancelled,,Cs62iBoaGk5zTFhEn,2024-05-20T17:45:35Z,2024-05-20T19:39:35Z
edeLgnApRx7rQKtuo,15,simple,false,2024-05-20T17:45:44Z,,cancelled,,72hEbLCSReZQvMGNk,2024-05-20T17:45:36Z,2024-05-20T19:39:35Z
nwS2jPptLjYEeyYzQ,16,simple,false,2024-05-20T17:45:44Z,,cancelled,,GetPp6EoLbmsJQaZG,2024-05-20T17:45:36Z,2024-05-20T19:39:36Z
PB95K5dsDcrmLTFpe,17,simple,true,2024-05-20T17:45:44Z,2024-05-20T18:39:14Z,finished,,g4XwnwJFksNKiAkzA,2024-05-20T17:45:36Z,2024-05-20T19:39:38Z
ThqK6zye3H5EvXFMa,18,simple,true,2024-05-20T17:45:43Z,2024-05-20T18:13:39Z,finished,,93RaJrq9xdAK6LgpN,2024-05-20T17:45:36Z,2024-05-20T19:39:37Z
PQktGkyidrQQomCBH,19,simple,true,2024-05-20T17:45:43Z,2024-05-20T18:07:14Z,finished,,9iTH7DbiJkNLcYByG,2024-05-20T17:45:36Z,2024-05-20T19:39:37Z
qx3eCtED9SYudhm3P,20,simple,true,2024-05-20T17:45:43Z,2024-05-20T18:02:30Z,finished,,mZLC32EXmaK43MLuH,2024-05-20T17:45:37Z,2024-05-20T19:39:37Z
SfgLdozdFYjsn6i3B,21,simple,true,2024-05-20T17:45:43Z,2024-05-20T18:00:39Z,finished,,ynwh3dewPkoWB4YXQ,2024-05-20T17:45:37Z,2024-05-20T19:39:37Z
j8u6fvmjiuY6tsoeo,22,simple,true,2024-05-20T17:45:42Z,2024-05-20T18:01:31Z,finished,,Nwz9Kdwh3whBPm9qa,2024-05-20T17:45:37Z,2024-05-20T19:39:36Z
5qRFx8bse6anESDsZ,23,simple,true,2024-05-20T17:45:42Z,,cancelled,,jb55FJwhTMbeRPD4v,2024-05-20T17:45:37Z,2024-05-20T19:39:36Z
pKBkmioE7pXoxERgx,24,simple,true,2024-05-20T17:45:41Z,2024-05-20T18:01:03Z,finished,,xPm8Fe2NDczt9dc7a,2024-05-20T17:45:37Z,2024-05-20T19:39:36Z
