_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time,data.strategy
Ky74u5R7yxpwqbyYk,F3TgEKTrHAeNQRYhC,kTdARJS6BQKSH5YkW,2024-05-20T17:17:05Z,26,male,polish,true,,,,,,master,yes,yes,stronglyAgree,yes,yes,no,yes,to get the highest reward for myself
mgH2KwxW6JHAmXZxN,Md5AafcF9zKCQh7sw,iHS7hTGpsg3bCPXvF,2024-05-20T17:17:27Z,27,male,english,true,,,,,,bachelor,yes,no,disagree,Yes,Yes,No,Was a bit quick,To try and cooperate but I felt like my partner didn't want to work together
FowTz7WumqF3G5jJK,XG7Xqmr7Ry3pFDctX,kTdARJS6BQKSH5YkW,2024-05-20T17:17:37Z,,Male,Polish,true,,,,,,highSchool,yes,yes,agree,Mostly.,Yes.,None.,Yes.,If there was an equal reward for both players - pick that. Otherwise it's a mix of both sides.
85BS5nZtpFLJbtZdJ,ZnF7JteoRKz9xsJjT,thQjeggqeanREQ6F7,2024-05-20T17:17:47Z,66,male,English,true,,,,,,highSchool,yes,yes,neutral,yes,yes fine,no,yes,didnt have one
eaNgApr7ZNRCj6wGX,R9aD2TxMFAPM9KDKj,iHS7hTGpsg3bCPXvF,2024-05-20T17:17:51Z,35,female,spanish,true,,,,,,master,no,yes,neutral,"2,50 pounds? yes, why not","yes, I think so",no,"yes, absolutely",really I have always given the one my partner had the most possibilities to choose
nGwCHhtH9dWNBYzQo,7uc6KirfaLkCwWtZW,thQjeggqeanREQ6F7,2024-05-20T17:18:01Z,55,Male,,true,,,,,,someCollege,yes,no,stronglyDisagree,Yes,Yes,Nothing,Yes,"To share until I found out the partner was not for sharing, then all out for me, lol"
3ytqeLE2h4PwKvLz6,9ngveZubiTLRMwkWA,pqiRYp96hDRJj73g7,2024-05-20T17:22:37Z,35,Male,English,true,,,,,,bachelor,yes,yes,neutral,Reasonable,Yes,No issues.,Yes,I tried to consider us both getting a good payoff.
H68iGmAYmeDYnweAY,6X3WYo7amffBshnb5,uKGckEJSrLnBCzZHA,2024-05-20T17:23:07Z,25,female,italian,true,,,,,,highSchool,yes,yes,stronglyAgree,yes,yes,no,yes,"talking the the other partecipant and agree with a strategy to recieve both the same points, and sometimes switched: when i recieve the most the other turn the other partecipant will have more points"
xDgfhrrmutMzmwGjM,FiEgFffvxrikipsC7,pqiRYp96hDRJj73g7,2024-05-20T17:23:33Z,46,female,Greek,true,,,,,,master,yes,yes,agree,I didn't see the pay,Very easy,No,Yes,To peak the same box with my partner
PCQAc4kZrbAPahhXR,MPfxMjFnMJLJXyWSA,PzPjHc5yE8EgPT6AJ,2024-05-20T17:23:47Z,25,female,spanish,,,,,,true,someCollege,yes,yes,agree,yes,yes,no,no,choose the one with more points for both of us
4n9gjyFxwWGvZrEFP,S4rgzXeB4LvTsuCbR,PzPjHc5yE8EgPT6AJ,2024-05-20T17:23:50Z,32,Male,Spanish,true,,,,,true,bachelor,yes,yes,stronglyAgree,Yes.,Yes.,Everything worked perfectly.,Yes.,Pick the equal amount any time it was possible.
Wo3jpWy5eAvjBiQRE,sL4PfezM2X6mGy3P5,PGQzAWoLzqYS9soap,2024-05-20T17:25:07Z,22,Female,Portuguese,true,,,,,,someCollege,yes,yes,stronglyAgree,I believe it was ,Yes,No,Yes,My strategy was always choosing the option that benefit both of us (the option were we both gained the maximum possible)
ZTW5D9NphBjBc2tJC,pgMgqLmjKiD7TTPKG,PGQzAWoLzqYS9soap,2024-05-20T17:26:53Z,43,Male,Italian,true,,,,,,bachelor,yes,yes,stronglyAgree,"I am not sure, the game was a bit too long",Very easy,"No, I didn't notice any problems","Yes, I had enough time every round, maybe too much",Take as many points as possible by alternating with partner when points were not equal
BZkC8NeuaRceoDpyk,b2BZS5YTS7YwzFWPx,NwuRNfDwCmA7P3YyG,2024-05-20T17:32:39Z,59,Female,English,true,,,,,,highSchool,yes,yes,stronglyAgree,I think so yes.,Very easy to use,Study went 100% smoothly,More than enough time,Just kept it civil.  Tried sharing where possible haha
MxNs6qDkHrDS5Sh23,sqJDpiHxXoBQGHTtL,uKGckEJSrLnBCzZHA,2024-05-20T17:33:17Z,20,male,Polish,true,,,,,,highSchool,yes,yes,stronglyAgree,yes,Yes,,Yes,To get same amount as my partner
jQJLFBvFSPWs9SAZ3,f8Pcerdu4Qj55Yew4,NwuRNfDwCmA7P3YyG,2024-05-20T17:33:28Z,21,Male,Portuguese,true,,,,,,someCollege,yes,yes,stronglyAgree,yes,yes,no,yes,We worked as a team. We started with the wrong foot but then we started choosing the better one for both of us. The boxes that gave  more points to someone we gave for each one by turns
FxDb82y8DdE6YuM5Y,vvNtoKH6A5sShTpk2,5EjqwQ7zx4aQz3qNQ,2024-05-20T17:41:08Z,,,,true,,false,,,,,yes,yes,stronglyAgree,yes,yes,no,yes,i just focused
kawiwFTEQYfWa4SG3,8Gd4X575jPi3Y8Xyx,5EjqwQ7zx4aQz3qNQ,2024-05-20T17:44:04Z,24,male,English,,,true,,,,bachelor,yes,yes,stronglyAgree,"yes, it didn't seem fair in the beginning because the other participant knowingly or unknowingly chose the wrong box. it could be because of the colours. When I typed peach for the peach box, he/she chose some other box, but when I typed pinkish he/she chose the correct box. Maybe they didn't trust me at first so they chose an option that would give them the highest reward, but we managed to play fair once we started to trust each other more ","yes, it was instant and I didn't have to wait for the messages to load",no,yes,to try to even out the points earned across all the rounds 
N4cXsCoDDekHNB5av,EP8D9xM3EkxYjow9D,jb55FJwhTMbeRPD4v,2024-05-20T17:52:41Z,34,Male,English,,true,,,,,someCollege,yes,no,stronglyDisagree,Sadly my partner disconnected and I did not get a chance to play the game.,Sadly my partner disconnected and I did not get a chance to play the game.,Sadly my partner disconnected and I did not get a chance to play the game.,Sadly my partner disconnected and I did not get a chance to play the game.,Sadly my partner disconnected and I did not get a chance to play the game.
LTwKitExnPofSgCFi,jcRRr32KNymJmknfv,z5pgSX3aBjLoWr3Lf,2024-05-20T17:57:36Z,42,male,polish,true,,,,,,master,yes,yes,stronglyAgree,yes,yes,no,yes,to gain a lot of money
DJ5j9zuYMNtD5uEov,PyEZDESN6Tzsc4v6C,z5pgSX3aBjLoWr3Lf,2024-05-20T17:57:53Z,21,non-binary,portuguese,,,true,,,,someCollege,yes,no,stronglyAgree,yes,yes,no,yes,try to maximise points for us both
9dpAvhjd6taWNTqNg,nRnwQAx2dL2AmY2ha,ag3QxJxWE7jQi9Kt2,2024-05-20T18:00:48Z,36,male,english,true,,,,,,bachelor,yes,yes,disagree,yes,"yes, no issues",no issues,"yes, plenty","we agreed to go for the option that pays both of us most even, but in most rounds it didn't really apply so i mostly just picked at random in the hope our choices matched."
JjmbpnPw9NnrxEchH,A7rkFB5425JNvixjT,ag3QxJxWE7jQi9Kt2,2024-05-20T18:01:12Z,58,male,English ,true,,,,,,highSchool,yes,no,disagree,moderately ,yes,none,just about ,Try to get points 
f3DYgLrb2Q7oFaKaS,rZvQaFEpHAFdPv374,xPm8Fe2NDczt9dc7a,2024-05-20T18:02:17Z,21,male,Polish,true,,,,,,highSchool,yes,yes,stronglyDisagree,Yes,Yes,No,Yes,Choose the box that benefits both sides.
r7XMC8bCxPhu2YJ8u,r9o7q3cJxcmuFfFkz,xPm8Fe2NDczt9dc7a,2024-05-20T18:02:24Z,18,Male,Hungarian,true,,,,,,highSchool,yes,yes,neutral,Overall it was fair.,Yes.,No I didn't.,"Yes, more than enough.",I always tried to think in such a way as to get the most out of both of us.
