_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.bonus_log,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
7xHGHmp79DMkJ933F,,,,,,2024-05-20T17:45:25Z,gameFull,,,,2024-05-20T17:04:08Z,,,,,,,,,,,
7uc6KirfaLkCwWtZW,,2024-05-20T17:05:43Z,,,ExitSurvey,2024-05-20T17:16:52Z,finished,,,,2024-05-20T17:04:17Z,"{""rep"":7,""own"":0,""partner"":0},{""rep"":15,""own"":8,""partner"":4},{""rep"":32,""own"":5,""partner"":5},{""rep"":38,""own"":3,""partner"":3}",p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.6,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",B,3,,
XG7Xqmr7Ry3pFDctX,,2024-05-20T17:05:07Z,,,ExitSurvey,2024-05-20T17:16:30Z,finished,,,,2024-05-20T17:04:19Z,"{""rep"":7,""own"":0,""partner"":0},{""rep"":15,""own"":6,""partner"":6},{""rep"":32,""own"":0,""partner"":0},{""rep"":38,""own"":6,""partner"":6}",p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.2000000000000002,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",A,6,,
ZnF7JteoRKz9xsJjT,,2024-05-20T17:05:28Z,,,ExitSurvey,2024-05-20T17:16:52Z,finished,,,,2024-05-20T17:04:19Z,"{""rep"":7,""own"":0,""partner"":0},{""rep"":15,""own"":4,""partner"":8},{""rep"":32,""own"":5,""partner"":5},{""rep"":38,""own"":3,""partner"":3}",p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.2000000000000002,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",B,3,,
pgMgqLmjKiD7TTPKG,,2024-05-20T17:07:18Z,,,ExitSurvey,2024-05-20T17:23:36Z,finished,,,,2024-05-20T17:04:20Z,"{""rep"":7,""own"":5,""partner"":5},{""rep"":15,""own"":4,""partner"":2},{""rep"":32,""own"":3,""partner"":3},{""rep"":38,""own"":5,""partner"":7}",p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.7000000000000002,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",A,6,,
f8Pcerdu4Qj55Yew4,,2024-05-20T17:07:37Z,,,ExitSurvey,2024-05-20T17:31:27Z,finished,,,,2024-05-20T17:04:25Z,"{""rep"":7,""own"":5,""partner"":3},{""rep"":15,""own"":2,""partner"":3},{""rep"":32,""own"":6,""partner"":6},{""rep"":38,""own"":7,""partner"":7}",p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",A,3,,
FiEgFffvxrikipsC7,,2024-05-20T17:08:53Z,,,ExitSurvey,2024-05-20T17:21:21Z,finished,,,,2024-05-20T17:04:28Z,"{""rep"":7,""own"":8,""partner"":5},{""rep"":15,""own"":7,""partner"":7},{""rep"":32,""own"":11,""partner"":11},{""rep"":38,""own"":0,""partner"":0}",p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.6,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",A,3,11999,true
b2BZS5YTS7YwzFWPx,,2024-05-20T17:07:25Z,,,ExitSurvey,2024-05-20T17:31:27Z,finished,,,,2024-05-20T17:04:29Z,"{""rep"":7,""own"":3,""partner"":5},{""rep"":15,""own"":3,""partner"":2},{""rep"":32,""own"":6,""partner"":6},{""rep"":38,""own"":7,""partner"":7}",p1,Repi,/avatars/jdenticon/Samuel,#8138A8,1.9000000000000004,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",A,5,,
sL4PfezM2X6mGy3P5,,2024-05-20T17:06:45Z,,,ExitSurvey,2024-05-20T17:23:36Z,finished,,,,2024-05-20T17:04:33Z,"{""rep"":7,""own"":5,""partner"":5},{""rep"":15,""own"":2,""partner"":4},{""rep"":32,""own"":3,""partner"":3},{""rep"":38,""own"":7,""partner"":5}",p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.7000000000000002,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",A,6,,
6X3WYo7amffBshnb5,,2024-05-20T17:08:20Z,,,ExitSurvey,2024-05-20T17:21:14Z,finished,,,,2024-05-20T17:04:37Z,"{""rep"":7,""own"":4,""partner"":4},{""rep"":15,""own"":6,""partner"":6},{""rep"":32,""own"":6,""partner"":6},{""rep"":38,""own"":8,""partner"":8}",p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.4000000000000004,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,6,,
