data.bonus,playerId,id,bonus,cost
0.67,DfhwRi77r89iZFEFD,5f1c66f13d69c002fa1fe42f,0.67,6.22
0.78,WvggzrzGgjk4HDh9M,60d8fed161008c0d4f3ae473,0.78,6.37
0.83,Hvv3gEyCGX2zBmXK2,6176966806de000024ed0ddf,0.83,6.44
0.65,m5hyD6u7arfKCWZ2h,5f0b29b60caf8d40f6680f00,0.65,6.2
0.51,aD8amtjzJx6jEyBMp,5eb822afecad7e02d5d5566e,0.51,6.01
1.11,YFN2b7aXAu9NEFvLC,5fa23c9b64b18a4067cc842e,1.11,6.81
0.97,Ew2Y7JzcqPu7Zb9P9,613e4bf960ca68f8de00e5e7,0.97,6.62
0.82,rMFK4T5wzumu8iwh7,5b8c8e7d0c740e00019d55c3,0.82,6.42
NA,dKYd5Wuq6rrewXLR3,5c573e54e9813700018acc31,0,5.33
NA,f442op6L9PBKomYbL,5f97e6601f6d0e016087fc91,0,5.33
,,,,61.75
