_id,gameId,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,response,time,box_A,box_B,role,AA,AB,BA,BB
qYNRWAkHFEghZ7hBw,2iyt5HqNWAyYtZvWc,7,7,0,9,9,0,3,3,0,DfhwRi77r89iZFEFD,A,9.094,aqua-crate,orange-crate,p1,7,0,9,3
xo2zBZ3F7JgoD9Ewe,2iyt5HqNWAyYtZvWc,5,5,0,7,7,0,4,4,1,DfhwRi77r89iZFEFD,B,2.567,crate,pink-crate,p1,5,0,7,4
Yx9MCZATGBmKP2eE4,2iyt5HqNWAyYtZvWc,5,5,0,6,6,0,1,1,2,DfhwRi77r89iZFEFD,A,1.254,pink-crate,aqua-crate,p1,5,0,6,1
MSug2PQKWMCKLQHZP,2iyt5HqNWAyYtZvWc,7,7,0,8,8,0,5,5,3,DfhwRi77r89iZFEFD,A,1.672,blue-crate,green-crate,p1,7,0,8,5
zqpLmTk9NAhoQ7wQw,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,3,3,4,DfhwRi77r89iZFEFD,B,1.972,purple-crate,yellow-crate,p1,5,0,9,3
QK4TYuCWN5CJkrfYc,2iyt5HqNWAyYtZvWc,6,6,0,8,8,0,3,3,5,DfhwRi77r89iZFEFD,B,1.64,purple-crate,crate,p1,6,0,8,3
hGXNHvd6aP6xruo4z,2iyt5HqNWAyYtZvWc,3,3,0,8,8,0,2,2,6,DfhwRi77r89iZFEFD,A,0.855,blue-crate,pink-crate,p1,3,0,8,2
vjdbQ6ED3YSYPsh2f,2iyt5HqNWAyYtZvWc,3,3,0,5,5,0,1,1,7,DfhwRi77r89iZFEFD,A,2.45,aqua-crate,pink-crate,p1,3,0,5,1
G9YH9Zdz9noLWi5pj,2iyt5HqNWAyYtZvWc,4,4,0,8,8,0,3,3,8,DfhwRi77r89iZFEFD,B,0.905,purple-crate,crate,p1,4,0,8,3
7Xqe9P7EwhgJPMTQ5,2iyt5HqNWAyYtZvWc,3,3,0,5,5,0,1,1,9,DfhwRi77r89iZFEFD,A,2.824,purple-crate,aqua-crate,p1,3,0,5,1
zSyjHsBsdYDLhytAu,2iyt5HqNWAyYtZvWc,2,2,0,3,3,0,1,1,10,DfhwRi77r89iZFEFD,A,2.137,green-crate,aqua-crate,p1,2,0,3,1
5rkaKLo2JRviSPrZH,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,3,3,11,DfhwRi77r89iZFEFD,B,1.767,blue-crate,aqua-crate,p1,5,0,9,3
cKRgysMc8SXmSqukA,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,1,1,12,DfhwRi77r89iZFEFD,A,1.244,green-crate,purple-crate,p1,5,0,9,1
Tz8zXvvwbniHgA5oa,2iyt5HqNWAyYtZvWc,5,5,0,6,6,0,3,3,13,DfhwRi77r89iZFEFD,B,1.45,pink-crate,green-crate,p1,5,0,6,3
j6odAmLFzu6QpiDFc,2iyt5HqNWAyYtZvWc,5,5,0,6,6,0,3,3,14,DfhwRi77r89iZFEFD,B,0.667,green-crate,pink-crate,p1,5,0,6,3
BNhf7ZuQJMp678tdM,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,1,1,15,DfhwRi77r89iZFEFD,B,1.196,orange-crate,green-crate,p1,5,0,9,1
3HzpfLiXv4HCczpXZ,2iyt5HqNWAyYtZvWc,4,4,0,9,9,0,1,1,16,DfhwRi77r89iZFEFD,B,2.09,green-crate,orange-crate,p1,4,0,9,1
LL9bcZg2Tf4HmeNop,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,3,3,17,DfhwRi77r89iZFEFD,A,1.921,aqua-crate,blue-crate,p1,5,0,9,3
a7TgCj6zRPhaM436S,2iyt5HqNWAyYtZvWc,3,3,0,8,8,0,1,1,18,DfhwRi77r89iZFEFD,A,1.063,blue-crate,crate,p1,3,0,8,1
GrpACDnm3vemubYHL,2iyt5HqNWAyYtZvWc,5,5,0,7,7,0,4,4,19,DfhwRi77r89iZFEFD,B,1.341,orange-crate,crate,p1,5,0,7,4
qYNRWAkHFEghZ7hBw,2iyt5HqNWAyYtZvWc,7,7,0,9,9,0,3,3,0,WvggzrzGgjk4HDh9M,B,10.149,aqua-crate,orange-crate,p2,7,9,0,3
xo2zBZ3F7JgoD9Ewe,2iyt5HqNWAyYtZvWc,5,5,0,7,7,0,4,4,1,WvggzrzGgjk4HDh9M,B,9.879,crate,pink-crate,p2,5,7,0,4
Yx9MCZATGBmKP2eE4,2iyt5HqNWAyYtZvWc,5,5,0,6,6,0,1,1,2,WvggzrzGgjk4HDh9M,B,2.797,pink-crate,aqua-crate,p2,5,6,0,1
MSug2PQKWMCKLQHZP,2iyt5HqNWAyYtZvWc,7,7,0,8,8,0,5,5,3,WvggzrzGgjk4HDh9M,B,4.385,blue-crate,green-crate,p2,7,8,0,5
zqpLmTk9NAhoQ7wQw,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,3,3,4,WvggzrzGgjk4HDh9M,A,2.167,purple-crate,yellow-crate,p2,5,9,0,3
QK4TYuCWN5CJkrfYc,2iyt5HqNWAyYtZvWc,6,6,0,8,8,0,3,3,5,WvggzrzGgjk4HDh9M,B,2.427,purple-crate,crate,p2,6,8,0,3
hGXNHvd6aP6xruo4z,2iyt5HqNWAyYtZvWc,3,3,0,8,8,0,2,2,6,WvggzrzGgjk4HDh9M,B,2.032,blue-crate,pink-crate,p2,3,8,0,2
vjdbQ6ED3YSYPsh2f,2iyt5HqNWAyYtZvWc,3,3,0,5,5,0,1,1,7,WvggzrzGgjk4HDh9M,B,3.668,aqua-crate,pink-crate,p2,3,5,0,1
G9YH9Zdz9noLWi5pj,2iyt5HqNWAyYtZvWc,4,4,0,8,8,0,3,3,8,WvggzrzGgjk4HDh9M,B,1.885,purple-crate,crate,p2,4,8,0,3
7Xqe9P7EwhgJPMTQ5,2iyt5HqNWAyYtZvWc,3,3,0,5,5,0,1,1,9,WvggzrzGgjk4HDh9M,A,1.52,purple-crate,aqua-crate,p2,3,5,0,1
zSyjHsBsdYDLhytAu,2iyt5HqNWAyYtZvWc,2,2,0,3,3,0,1,1,10,WvggzrzGgjk4HDh9M,A,3.033,green-crate,aqua-crate,p2,2,3,0,1
5rkaKLo2JRviSPrZH,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,3,3,11,WvggzrzGgjk4HDh9M,A,1.8,blue-crate,aqua-crate,p2,5,9,0,3
cKRgysMc8SXmSqukA,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,1,1,12,WvggzrzGgjk4HDh9M,B,2.182,green-crate,purple-crate,p2,5,9,0,1
Tz8zXvvwbniHgA5oa,2iyt5HqNWAyYtZvWc,5,5,0,6,6,0,3,3,13,WvggzrzGgjk4HDh9M,B,2.502,pink-crate,green-crate,p2,5,6,0,3
j6odAmLFzu6QpiDFc,2iyt5HqNWAyYtZvWc,5,5,0,6,6,0,3,3,14,WvggzrzGgjk4HDh9M,B,5.447,green-crate,pink-crate,p2,5,6,0,3
BNhf7ZuQJMp678tdM,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,1,1,15,WvggzrzGgjk4HDh9M,A,1.819,orange-crate,green-crate,p2,5,9,0,1
3HzpfLiXv4HCczpXZ,2iyt5HqNWAyYtZvWc,4,4,0,9,9,0,1,1,16,WvggzrzGgjk4HDh9M,A,1.436,green-crate,orange-crate,p2,4,9,0,1
LL9bcZg2Tf4HmeNop,2iyt5HqNWAyYtZvWc,5,5,0,9,9,0,3,3,17,WvggzrzGgjk4HDh9M,B,1.674,aqua-crate,blue-crate,p2,5,9,0,3
a7TgCj6zRPhaM436S,2iyt5HqNWAyYtZvWc,3,3,0,8,8,0,1,1,18,WvggzrzGgjk4HDh9M,A,1.508,blue-crate,crate,p2,3,8,0,1
GrpACDnm3vemubYHL,2iyt5HqNWAyYtZvWc,5,5,0,7,7,0,4,4,19,WvggzrzGgjk4HDh9M,A,1.694,orange-crate,crate,p2,5,7,0,4
zeYeMFGeBKzmTixWD,zLuA4iDWY3B356FLZ,5,5,0,6,6,0,1,1,0,Hvv3gEyCGX2zBmXK2,A,16.068,yellow-crate,orange-crate,p1,5,0,6,1
g3zCdpuspGBjLjkfG,zLuA4iDWY3B356FLZ,5,5,0,8,8,0,3,3,1,Hvv3gEyCGX2zBmXK2,B,2.234,yellow-crate,pink-crate,p1,5,0,8,3
ffgSfrus3mfQXcMGY,zLuA4iDWY3B356FLZ,5,5,0,9,9,0,3,3,2,Hvv3gEyCGX2zBmXK2,B,2.443,orange-crate,purple-crate,p1,5,0,9,3
xLTv2KhgoGtHPm7Qh,zLuA4iDWY3B356FLZ,5,5,0,7,7,0,2,2,3,Hvv3gEyCGX2zBmXK2,B,4.247,crate,purple-crate,p1,5,0,7,2
LAhmHxA9msSnv2Ero,zLuA4iDWY3B356FLZ,7,7,0,8,8,0,5,5,4,Hvv3gEyCGX2zBmXK2,B,4.811,green-crate,orange-crate,p1,7,0,8,5
oR5mMrXQTQL2BrLt5,zLuA4iDWY3B356FLZ,5,5,0,8,8,0,1,1,5,Hvv3gEyCGX2zBmXK2,B,3.279,orange-crate,pink-crate,p1,5,0,8,1
GQCHz6TBzEyK3ySnX,zLuA4iDWY3B356FLZ,6,6,0,9,9,0,5,5,6,Hvv3gEyCGX2zBmXK2,B,3.537,purple-crate,orange-crate,p1,6,0,9,5
roQgvYhrLEdLHocZi,zLuA4iDWY3B356FLZ,2,2,0,3,3,0,1,1,7,Hvv3gEyCGX2zBmXK2,A,2.253,purple-crate,yellow-crate,p1,2,0,3,1
jYZaeA2zRPQpD98JB,zLuA4iDWY3B356FLZ,3,3,0,9,9,0,2,2,8,Hvv3gEyCGX2zBmXK2,A,2.354,green-crate,purple-crate,p1,3,0,9,2
QgrQmQiAaAgP36ddx,zLuA4iDWY3B356FLZ,6,6,0,7,7,0,5,5,9,Hvv3gEyCGX2zBmXK2,B,4.193,green-crate,blue-crate,p1,6,0,7,5
QZnAJ2unvCKe3XoJk,zLuA4iDWY3B356FLZ,6,6,0,7,7,0,2,2,10,Hvv3gEyCGX2zBmXK2,B,2.927,green-crate,purple-crate,p1,6,0,7,2
CX3ipZzMDdpnSjA26,zLuA4iDWY3B356FLZ,5,5,0,8,8,0,2,2,11,Hvv3gEyCGX2zBmXK2,B,3.321,crate,aqua-crate,p1,5,0,8,2
roXA5jyhire4zH34h,zLuA4iDWY3B356FLZ,2,2,0,4,4,0,1,1,12,Hvv3gEyCGX2zBmXK2,B,3.669,blue-crate,orange-crate,p1,2,0,4,1
G6m7hWjc2yedk7WCL,zLuA4iDWY3B356FLZ,6,6,0,8,8,0,5,5,13,Hvv3gEyCGX2zBmXK2,B,2.877,green-crate,crate,p1,6,0,8,5
