_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
MjEe7EztGQmYsBX3X,0,selection,Selection,2021-11-08T19:12:32Z,180,qYNRWAkHFEghZ7hBw,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-08T19:12:32.245Z""}"
mpSwePLMe3oTrHaau,1,feedback,Feedback,2021-11-08T19:12:43Z,5,qYNRWAkHFEghZ7hBw,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:31Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-08T19:12:42.816Z""}"
u4erQgufwz4Yno9qo,2,selection,Selection,2021-11-08T19:12:48Z,180,xo2zBZ3F7JgoD9Ewe,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-08T19:12:48.623Z""}"
y8Wo5e4i9qYJDQs9D,3,feedback,Feedback,2021-11-08T19:12:59Z,5,xo2zBZ3F7JgoD9Ewe,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-08T19:12:58.919Z""}"
FTacnjNHyeybWEPJ9,4,selection,Selection,2021-11-08T19:13:04Z,180,Yx9MCZATGBmKP2eE4,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-08T19:13:04.617Z""}"
9czCEAfdMoTuNf3Pr,5,feedback,Feedback,2021-11-08T19:13:08Z,5,Yx9MCZATGBmKP2eE4,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-08T19:13:07.838Z""}"
X9375u6Euf24gyW8z,6,selection,Selection,2021-11-08T19:13:13Z,180,MSug2PQKWMCKLQHZP,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-08T19:13:13.628Z""}"
E3DSx83xHf4xaTc6D,7,feedback,Feedback,2021-11-08T19:13:18Z,5,MSug2PQKWMCKLQHZP,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-08T19:13:18.466Z""}"
oF3krxHA5kgjaHmdf,8,selection,Selection,2021-11-08T19:13:24Z,180,zqpLmTk9NAhoQ7wQw,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-08T19:13:24.632Z""}"
KhjQEBc5qQsapsJZD,9,feedback,Feedback,2021-11-08T19:13:27Z,5,zqpLmTk9NAhoQ7wQw,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-08T19:13:27.647Z""}"
A2Y6tZjkK29n3Kxpy,10,selection,Selection,2021-11-08T19:13:33Z,180,QK4TYuCWN5CJkrfYc,2iyt5HqNWAyYtZvWc,2021-11-08T19:12:32Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-08T19:13:33.624Z""}"
