row_id,index,stageIds,gameId,createdAt,targets,payoffs,repNum,text,playerId,role,type,submitted,player_BSeugNZYoKLcMPEym_payoff,player_BSeugNZYoKLcMPEym_role,player_Dd3H5DvYdDQJGCaXP_payoff,player_Dd3H5DvYdDQJGCaXP_role,player_b7yQYd9yFDjGvqD5x_payoff,player_b7yQYd9yFDjGvqD5x_role,player_uBrwQfjsJ32taCjd5_payoff,player_uBrwQfjsJ32taCjd5_role,player_HyAYoQc6SaAsPLRMG_payoff,player_HyAYoQc6SaAsPLRMG_role,player_o9BQEnwK9mPZ7jK46_payoff,player_o9BQEnwK9mPZ7jK46_role,player_9KzxEKjPduYiBoEvK_payoff,player_9KzxEKjPduYiBoEvK_role,player_AnLPrjGHwQcnJAJx6_payoff,player_AnLPrjGHwQcnJAJx6_role,player_TTWhjiteFtwN9552j_payoff,player_TTWhjiteFtwN9552j_role,player_XhqREEJtcdPQkLHMZ_payoff,player_XhqREEJtcdPQkLHMZ_role
ZtJ44Tkw4EEELTn34,0,"oE2BBhEq4zTMaEMfN,SroF2fAwgoQM48pSn",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":6},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":6,""p2"":7}}",0,NA,Dd3H5DvYdDQJGCaXP,p1,selectionAlert,TRUE,6,p2,7,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZtJ44Tkw4EEELTn34,0,"oE2BBhEq4zTMaEMfN,SroF2fAwgoQM48pSn",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":6},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":6,""p2"":7}}",0,NA,BSeugNZYoKLcMPEym,p2,selectionAlert,TRUE,6,p2,7,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cTAYqzzsPDzNBHqrh,1,"qGxEGGsqw9XukYgor,2jdwJb3a3LAF7tPa4",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":8,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":8}}",1,NA,Dd3H5DvYdDQJGCaXP,p1,selectionAlert,TRUE,0,p2,0,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cTAYqzzsPDzNBHqrh,1,"qGxEGGsqw9XukYgor,2jdwJb3a3LAF7tPa4",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":8,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":8}}",1,NA,BSeugNZYoKLcMPEym,p2,selectionAlert,TRUE,0,p2,0,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XdY8sJg5XaGhDMYHs,2,"ksZw6gcCJozopN74T,m5XS43Fk6fxskYxH2",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":7}}",2,NA,Dd3H5DvYdDQJGCaXP,p1,selectionAlert,TRUE,7,p2,4,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XdY8sJg5XaGhDMYHs,2,"ksZw6gcCJozopN74T,m5XS43Fk6fxskYxH2",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":7,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":7}}",2,NA,BSeugNZYoKLcMPEym,p2,selectionAlert,TRUE,7,p2,4,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cFyM5eNsSsstL8jQ,3,"gjeFJkjw3wop5Cjzh,PDcyRbxuFEwEyLyP5",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":8},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":8,""p2"":9}}",3,NA,Dd3H5DvYdDQJGCaXP,p1,selectionAlert,TRUE,8,p2,9,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cFyM5eNsSsstL8jQ,3,"gjeFJkjw3wop5Cjzh,PDcyRbxuFEwEyLyP5",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":8},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":8,""p2"":9}}",3,NA,BSeugNZYoKLcMPEym,p2,selectionAlert,TRUE,8,p2,9,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FTxtzJ7rfwyTsT7hA,4,"Huo6ge8roTduShL65,pH3jjeEvqwdMwuMMq",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":6}}",4,NA,BSeugNZYoKLcMPEym,p2,selectionAlert,TRUE,0,p2,0,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FTxtzJ7rfwyTsT7hA,4,"Huo6ge8roTduShL65,pH3jjeEvqwdMwuMMq",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":2},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":2,""p2"":6}}",4,NA,Dd3H5DvYdDQJGCaXP,p1,selectionAlert,TRUE,0,p2,0,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSo2CFjBjBSRBoxkC,5,"9HjBAkWwos55PyNjQ,FJdKzCwyRJ6iHQHv2",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":5},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":5,""p2"":6}}",5,NA,BSeugNZYoKLcMPEym,p2,selectionAlert,TRUE,6,p2,5,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSo2CFjBjBSRBoxkC,5,"9HjBAkWwos55PyNjQ,FJdKzCwyRJ6iHQHv2",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":6,""p2"":5},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":5,""p2"":6}}",5,NA,Dd3H5DvYdDQJGCaXP,p1,selectionAlert,TRUE,6,p2,5,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bQPm8SNimhrCweKHj,6,"aEkd6PPCgks8ZyyhH,Bu65mexa6SyGtuTSw",oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}","{""AA"":{""p1"":9,""p2"":4},""AB"":{""p1"":0,""p2"":0},""BA"":{""p1"":0,""p2"":0},""BB"":{""p1"":4,""p2"":9}}",6,NA,BSeugNZYoKLcMPEym,p2,selectionAlert,TRUE,9,p2,4,p1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
