_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time
6D2bmNyYYEmf6mHHe,WvggzrzGgjk4HDh9M,2iyt5HqNWAyYtZvWc,2021-11-08T19:16:51Z,24,female,Polish,true,,,,,,master,yes,no,neutral,yes it was fair,yes it was yeasy to use,no problems at all,I'd need a little more time
KKxmre92GGTCP3Sgh,DfhwRi77r89iZFEFD,2iyt5HqNWAyYtZvWc,2021-11-08T19:16:52Z,25,male,Polish,true,,,,,,highSchool,yes,no,disagree,Yes,my partner did not use chat,No,Yes
KugAvsDvejTEtKZc2,Hvv3gEyCGX2zBmXK2,zLuA4iDWY3B356FLZ,2021-11-08T19:17:54Z,25,female,polish,true,,,,,,master,yes,yes,agree,yes,i think so,no,yes
9vgmNWi6bkRyQp8vG,aD8amtjzJx6jEyBMp,zLuA4iDWY3B356FLZ,2021-11-08T19:18:10Z,22,male,,true,,,,,,bachelor,no,no,neutral,"Yes, but i was confused why the other player was gaining more money ",i believe so ,no,yes 
dfPt2kR8v6KrBpvXW,rMFK4T5wzumu8iwh7,iBNEbA9ZNacrZ97qL,2021-11-08T19:20:11Z,36,Male,Spanish,,,,,,true,bachelor,yes,no,agree,I guess,"It was. i didn't use it, though.",None.,Yes
BNT9iNQGQR92nDYFH,Ew2Y7JzcqPu7Zb9P9,hX4iCqsQSa2GCa4DS,2021-11-08T19:21:38Z,18,Female,Spanish,true,,,,,,highSchool,yes,no,agree,Yes,Yes,No,Yes
gcNWyrYqYdMJdtLsh,YFN2b7aXAu9NEFvLC,hX4iCqsQSa2GCa4DS,2021-11-08T19:23:17Z,35,male,vietnamese,,,true,,,,master,yes,yes,stronglyAgree,"fair enough, we co-operate, I thought of cheating a few times, but don't know, just don't want to let others feel bad about me",yes,"no, no more comments.","plenty of time, we took less than 10 secs to make decisions together"
dty5tXQ5FeFap9EEK,m5hyD6u7arfKCWZ2h,iBNEbA9ZNacrZ97qL,2021-11-08T19:23:36Z,22,female,Italian,true,false,,,,,highSchool,yes,yes,stronglyDisagree,Yes but my partner was picking the highest option to themself so I ended up having to pick the lowest option just to get something,Yes,,"The time to chat and pick felt rushed, I panicked and didn't try to communicate, but I had enough time to pick what I wanted (except one time)"
jzMm94gPn9oadpXvQ,dKYd5Wuq6rrewXLR3,,2021-11-08T19:37:25Z,28,Male,Portuguese,true,,,,,,master,yes,yes,neutral,Didn't get the chance to play.,Didn't get the chance to play.,Didn't get the chance to play.,Didn't get the chance to play.
fZMajbAjKLJsPRdvR,f442op6L9PBKomYbL,,2021-11-08T19:47:45Z,27,male,polish,true,,,,,,master,no,,,,,That was not enough players to start game,
