_id,gameId,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB
ZtJ44Tkw4EEELTn34,oKZdwR7zw8Yvj25wT,7,6,0,0,0,0,6,7,0,BSeugNZYoKLcMPEym,6,A,p2,18.134,green-crate,orange-crate,6,0,0,7
cTAYqzzsPDzNBHqrh,oKZdwR7zw8Yvj25wT,8,2,0,0,0,0,2,8,1,BSeugNZYoKLcMPEym,0,A,p2,13.927,pink-crate,yellow-crate,2,0,0,8
XdY8sJg5XaGhDMYHs,oKZdwR7zw8Yvj25wT,7,4,0,0,0,0,4,7,2,BSeugNZYoKLcMPEym,7,B,p2,8.342,purple-crate,yellow-crate,4,0,0,7
4cFyM5eNsSsstL8jQ,oKZdwR7zw8Yvj25wT,9,8,0,0,0,0,8,9,3,BSeugNZYoKLcMPEym,8,A,p2,7.101,purple-crate,yellow-crate,8,0,0,9
FTxtzJ7rfwyTsT7hA,oKZdwR7zw8Yvj25wT,6,2,0,0,0,0,2,6,4,BSeugNZYoKLcMPEym,0,B,p2,6.149,green-crate,blue-crate,2,0,0,6
RSo2CFjBjBSRBoxkC,oKZdwR7zw8Yvj25wT,6,5,0,0,0,0,5,6,5,BSeugNZYoKLcMPEym,6,B,p2,4.069,blue-crate,purple-crate,5,0,0,6
bQPm8SNimhrCweKHj,oKZdwR7zw8Yvj25wT,9,4,0,0,0,0,4,9,6,BSeugNZYoKLcMPEym,9,B,p2,3.628,crate,pink-crate,4,0,0,9
Xw3NW7biCpRkZAphi,oKZdwR7zw8Yvj25wT,5,4,0,0,0,0,4,5,7,BSeugNZYoKLcMPEym,0,B,p2,3.456,yellow-crate,green-crate,4,0,0,5
nor4d5qbArWgbm69B,oKZdwR7zw8Yvj25wT,5,2,0,0,0,0,2,5,8,BSeugNZYoKLcMPEym,0,B,p2,3.475,aqua-crate,yellow-crate,2,0,0,5
ePFwR9bZ2Mbr3hbTJ,oKZdwR7zw8Yvj25wT,5,3,0,0,0,0,3,5,9,BSeugNZYoKLcMPEym,5,B,p2,3.95,green-crate,pink-crate,3,0,0,5
5zXSBEk6joF2qYwiZ,oKZdwR7zw8Yvj25wT,5,4,0,0,0,0,4,5,10,BSeugNZYoKLcMPEym,0,B,p2,3.679,blue-crate,orange-crate,4,0,0,5
iDMoTgCqfKbkSqLTb,oKZdwR7zw8Yvj25wT,9,6,0,0,0,0,6,9,11,BSeugNZYoKLcMPEym,0,B,p2,3.633,pink-crate,aqua-crate,6,0,0,9
smK7e9NxjBfbCdE2s,oKZdwR7zw8Yvj25wT,6,4,0,0,0,0,4,6,12,BSeugNZYoKLcMPEym,0,A,p2,3.51,blue-crate,yellow-crate,4,0,0,6
EjarsCoE6FPmmSbRJ,oKZdwR7zw8Yvj25wT,9,5,0,0,0,0,5,9,13,BSeugNZYoKLcMPEym,9,B,p2,3.731,crate,blue-crate,5,0,0,9
tNBaHeCxwEscsGAtw,oKZdwR7zw8Yvj25wT,6,5,0,0,0,0,5,6,14,BSeugNZYoKLcMPEym,0,B,p2,3.652,yellow-crate,aqua-crate,5,0,0,6
KB2u9hcuskDMQK3jk,oKZdwR7zw8Yvj25wT,7,4,0,0,0,0,4,7,15,BSeugNZYoKLcMPEym,0,A,p2,3.387,orange-crate,crate,4,0,0,7
if4axdNpw4NBGEagH,oKZdwR7zw8Yvj25wT,3,2,0,0,0,0,2,3,16,BSeugNZYoKLcMPEym,2,A,p2,3.466,aqua-crate,blue-crate,2,0,0,3
EohMnCcnaJksTMoGi,oKZdwR7zw8Yvj25wT,9,8,0,0,0,0,8,9,17,BSeugNZYoKLcMPEym,8,A,p2,4.297,yellow-crate,green-crate,8,0,0,9
LPWXtYnAtydfz8TgT,oKZdwR7zw8Yvj25wT,5,3,0,0,0,0,3,5,18,BSeugNZYoKLcMPEym,5,B,p2,3.927,orange-crate,pink-crate,3,0,0,5
wfdxBWkiifBFgYKWE,oKZdwR7zw8Yvj25wT,6,5,0,0,0,0,5,6,19,BSeugNZYoKLcMPEym,0,A,p2,3.829,crate,purple-crate,5,0,0,6
r6AHPXwBuPdGAvtgE,oKZdwR7zw8Yvj25wT,8,4,0,0,0,0,4,8,20,BSeugNZYoKLcMPEym,0,A,p2,4.147,crate,pink-crate,4,0,0,8
4w4DEj8LowNCSTZYn,oKZdwR7zw8Yvj25wT,7,3,0,0,0,0,3,7,21,BSeugNZYoKLcMPEym,3,A,p2,3.384,green-crate,blue-crate,3,0,0,7
CJE7qwKGb6J96Pow3,oKZdwR7zw8Yvj25wT,7,2,0,0,0,0,2,7,22,BSeugNZYoKLcMPEym,0,B,p2,4.907,crate,green-crate,2,0,0,7
pGcxXZriJnCy3Rmje,oKZdwR7zw8Yvj25wT,6,4,0,0,0,0,4,6,23,BSeugNZYoKLcMPEym,0,B,p2,5.429,yellow-crate,blue-crate,4,0,0,6
Zw4PEYZewu3yyK7eo,oKZdwR7zw8Yvj25wT,6,5,0,0,0,0,5,6,24,BSeugNZYoKLcMPEym,0,A,p2,4.468,yellow-crate,aqua-crate,5,0,0,6
XitQQ2Xd5oqRPA6Wh,oKZdwR7zw8Yvj25wT,9,2,0,0,0,0,2,9,25,BSeugNZYoKLcMPEym,0,A,p2,3.101,pink-crate,aqua-crate,2,0,0,9
bfLBLW9DpTMMwo7Sp,oKZdwR7zw8Yvj25wT,9,4,0,0,0,0,4,9,26,BSeugNZYoKLcMPEym,0,B,p2,3.678,orange-crate,blue-crate,4,0,0,9
opGeWsYmpRFFdk3yh,oKZdwR7zw8Yvj25wT,9,8,0,0,0,0,8,9,27,BSeugNZYoKLcMPEym,8,A,p2,3.468,yellow-crate,pink-crate,8,0,0,9
rcXKYtjoJNtq4cRYQ,oKZdwR7zw8Yvj25wT,9,7,0,0,0,0,7,9,28,BSeugNZYoKLcMPEym,9,B,p2,3.649,crate,blue-crate,7,0,0,9
t5sL9yhyz34H5B6zX,oKZdwR7zw8Yvj25wT,5,2,0,0,0,0,2,5,29,BSeugNZYoKLcMPEym,5,B,p2,3.399,crate,orange-crate,2,0,0,5
z8ZpHysZMBtCE3aLQ,oKZdwR7zw8Yvj25wT,4,2,0,0,0,0,2,4,30,BSeugNZYoKLcMPEym,2,A,p2,3.374,yellow-crate,pink-crate,2,0,0,4
9tykeCqGJXTyTotq4,oKZdwR7zw8Yvj25wT,5,4,0,0,0,0,4,5,31,BSeugNZYoKLcMPEym,4,A,p2,3.704,blue-crate,crate,4,0,0,5
