_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
oE2BBhEq4zTMaEMfN,0,selection,Selection,2021-11-12T22:23:58Z,180,ZtJ44Tkw4EEELTn34,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:23:58.091Z""}"
SroF2fAwgoQM48pSn,1,feedback,Feedback,2021-11-12T22:24:14Z,5,ZtJ44Tkw4EEELTn34,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:24:13.909Z""}"
qGxEGGsqw9XukYgor,2,selection,Selection,2021-11-12T22:24:19Z,180,cTAYqzzsPDzNBHqrh,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:24:19.684Z""}"
2jdwJb3a3LAF7tPa4,3,feedback,Feedback,2021-11-12T22:24:31Z,5,cTAYqzzsPDzNBHqrh,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:24:31.280Z""}"
ksZw6gcCJozopN74T,4,selection,Selection,2021-11-12T22:24:36Z,180,XdY8sJg5XaGhDMYHs,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:24:36.692Z""}"
m5XS43Fk6fxskYxH2,5,feedback,Feedback,2021-11-12T22:24:42Z,5,XdY8sJg5XaGhDMYHs,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:24:42.708Z""}"
gjeFJkjw3wop5Cjzh,6,selection,Selection,2021-11-12T22:24:48Z,180,4cFyM5eNsSsstL8jQ,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:24:48.692Z""}"
PDcyRbxuFEwEyLyP5,7,feedback,Feedback,2021-11-12T22:24:53Z,5,4cFyM5eNsSsstL8jQ,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:24:53.462Z""}"
Huo6ge8roTduShL65,8,selection,Selection,2021-11-12T22:25:00Z,180,FTxtzJ7rfwyTsT7hA,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:24:59.743Z""}"
pH3jjeEvqwdMwuMMq,9,feedback,Feedback,2021-11-12T22:25:04Z,5,FTxtzJ7rfwyTsT7hA,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:25:04.248Z""}"
9HjBAkWwos55PyNjQ,10,selection,Selection,2021-11-12T22:25:09Z,180,RSo2CFjBjBSRBoxkC,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:25:09.699Z""}"
FJdKzCwyRJ6iHQHv2,11,feedback,Feedback,2021-11-12T22:25:13Z,5,RSo2CFjBjBSRBoxkC,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:25:12.935Z""}"
aEkd6PPCgks8ZyyhH,12,selection,Selection,2021-11-12T22:25:18Z,180,bQPm8SNimhrCweKHj,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:25:18.717Z""}"
Bu65mexa6SyGtuTSw,13,feedback,Feedback,2021-11-12T22:25:22Z,5,bQPm8SNimhrCweKHj,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:25:21.896Z""}"
38tyNFPzcuuD2D3WJ,14,selection,Selection,2021-11-12T22:25:27Z,180,Xw3NW7biCpRkZAphi,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:25:27.706Z""}"
XBBJDTm3Dzz2euyec,15,feedback,Feedback,2021-11-12T22:25:29Z,5,Xw3NW7biCpRkZAphi,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:25:28.918Z""}"
DSAavGsNJevHjSdGZ,16,selection,Selection,2021-11-12T22:25:34Z,180,nor4d5qbArWgbm69B,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:25:34.700Z""}"
qi5bggmTFB3Jw5CD5,17,feedback,Feedback,2021-11-12T22:25:36Z,5,nor4d5qbArWgbm69B,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:25:35.828Z""}"
ZZXEHbunKeWbhqeyd,18,selection,Selection,2021-11-12T22:25:41Z,180,ePFwR9bZ2Mbr3hbTJ,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:25:41.720Z""}"
AGnfChgHFnQQbZ9wT,19,feedback,Feedback,2021-11-12T22:25:43Z,5,ePFwR9bZ2Mbr3hbTJ,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:25:43.394Z""}"
ZF5zN7YowTeD8cuix,20,selection,Selection,2021-11-12T22:25:48Z,180,5zXSBEk6joF2qYwiZ,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:25:48.715Z""}"
2R7YrEWbW4Wypgm5u,21,feedback,Feedback,2021-11-12T22:25:50Z,5,5zXSBEk6joF2qYwiZ,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:25:50.069Z""}"
qPWvxYeNytNKTLEwN,22,selection,Selection,2021-11-12T22:25:55Z,180,iDMoTgCqfKbkSqLTb,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:25:55.703Z""}"
HrniGKFwxXKrWvyzG,23,feedback,Feedback,2021-11-12T22:25:57Z,5,iDMoTgCqfKbkSqLTb,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:25:56.987Z""}"
SDHRAG44xbp7b3QaF,24,selection,Selection,2021-11-12T22:26:02Z,180,smK7e9NxjBfbCdE2s,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:26:02.711Z""}"
ZwhodPTq3gXZX6a8z,25,feedback,Feedback,2021-11-12T22:26:04Z,5,smK7e9NxjBfbCdE2s,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:26:03.927Z""}"
oyXZ4pzKuxa5fXKky,26,selection,Selection,2021-11-12T22:26:09Z,180,EjarsCoE6FPmmSbRJ,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:26:09.711Z""}"
xujZvY6P8bEFb9KeE,27,feedback,Feedback,2021-11-12T22:26:11Z,5,EjarsCoE6FPmmSbRJ,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:26:11.087Z""}"
P75g4eeDuuwyEmc6G,28,selection,Selection,2021-11-12T22:26:16Z,180,tNBaHeCxwEscsGAtw,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:26:16.704Z""}"
cTtjpNpr2q3ZKccnT,29,feedback,Feedback,2021-11-12T22:26:18Z,5,tNBaHeCxwEscsGAtw,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:26:18.018Z""}"
b2kSdTwumX8mABggY,30,selection,Selection,2021-11-12T22:26:23Z,180,KB2u9hcuskDMQK3jk,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:26:23.716Z""}"
ofbwcMHNSzJt8pYBm,31,feedback,Feedback,2021-11-12T22:26:26Z,5,KB2u9hcuskDMQK3jk,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:26:25.771Z""}"
ESWmYZR4yM9T57ogL,32,selection,Selection,2021-11-12T22:26:31Z,180,if4axdNpw4NBGEagH,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:26:31.717Z""}"
GaReXEsin7BT9sMFu,33,feedback,Feedback,2021-11-12T22:26:35Z,5,if4axdNpw4NBGEagH,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:26:34.773Z""}"
5ephdWGeBzuQmiPjA,34,selection,Selection,2021-11-12T22:26:40Z,180,EohMnCcnaJksTMoGi,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:26:40.719Z""}"
7RZhq3RHPxZqevnoq,35,feedback,Feedback,2021-11-12T22:26:44Z,5,EohMnCcnaJksTMoGi,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:26:44.040Z""}"
fx2NSg4xwESLkyX4r,36,selection,Selection,2021-11-12T22:26:49Z,180,LPWXtYnAtydfz8TgT,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:26:49.719Z""}"
qcPsomqvAE2pnrLr5,37,feedback,Feedback,2021-11-12T22:26:53Z,5,LPWXtYnAtydfz8TgT,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:26:53.461Z""}"
hJHKd4WkvanwNHKbw,38,selection,Selection,2021-11-12T22:26:59Z,180,wfdxBWkiifBFgYKWE,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:26:59.723Z""}"
LJTpCGDBfDQ5PHLnN,39,feedback,Feedback,2021-11-12T22:27:04Z,5,wfdxBWkiifBFgYKWE,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2021-11-12T22:27:03.778Z""}"
x3BiW8TgBQHpuszhT,40,selection,Selection,2021-11-12T22:27:09Z,180,r6AHPXwBuPdGAvtgE,oKZdwR7zw8Yvj25wT,2021-11-12T22:23:57Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2021-11-12T22:27:09.738Z""}"
