_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.timeClick,data.scoreIncrement
2kmtbTcHRHurrspLX,,2021-12-09T17:52:29Z,,,ExitSurvey,2021-12-09T18:04:01Z,finished,,,,2021-12-09T17:51:33Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,1.8,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",B,16724,4
3XoD7AQvHu3avJ9Fo,,2021-12-09T17:52:45Z,,,ExitSurvey,2021-12-09T18:01:51Z,finished,,,,2021-12-09T17:51:49Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.8400000000000003,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",B,-1838,0
hgJpQRAv9sMrD6464,,2021-12-09T17:52:09Z,,,ExitSurvey,2021-12-09T18:04:01Z,finished,,,,2021-12-09T17:51:50Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.72,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""}",B,1773,9
9d7wNGCZf54Nyvkts,,2021-12-09T17:53:20Z,,,ExitSurvey,2021-12-09T18:08:22Z,finished,,,,2021-12-09T17:51:56Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.9000000000000017,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""}",A,7729,9
CabZtomiyfsZdYF9Q,,2021-12-09T17:52:48Z,,,ExitSurvey,2021-12-09T18:10:00Z,finished,,,,2021-12-09T17:52:00Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.280000000000002,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",A,4260,6
STXF4MBw6pAhpFQzR,,2021-12-09T17:52:44Z,,,ExitSurvey,2021-12-09T18:01:51Z,finished,,,,2021-12-09T17:52:01Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.9400000000000006,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,1036,0
dhz4DnHhhaPYQNCay,,2021-12-09T17:53:14Z,,,ExitSurvey,2021-12-09T18:10:00Z,finished,,,,2021-12-09T17:52:01Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.300000000000001,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",A,15365,8
Doke7X7WNnFwHZP4E,,2021-12-09T17:53:48Z,,,ExitSurvey,2021-12-09T18:13:43Z,finished,,,,2021-12-09T17:52:18Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.820000000000002,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",A,3944,5
zDMEyFj4dThs4gzrp,,2021-12-09T17:53:32Z,,,ExitSurvey,2021-12-09T18:08:22Z,finished,,,,2021-12-09T17:52:52Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.8800000000000017,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""}",A,6583,7
ekSbCaWp5aNMFarbX,,2021-12-09T17:57:57Z,,,ExitSurvey,2021-12-09T18:13:43Z,finished,,,,2021-12-09T17:57:25Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.780000000000002,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,12264,8
