_id,name,value,factorTypeId,createdAt
Jd46qfg5SQuSebXfW,true,true,M6qzzsyMbt86JGAeQ,2022-01-05T23:23:44Z
f4oghQ86da9HBGLsL,false,false,M6qzzsyMbt86JGAeQ,2022-01-05T23:23:44Z
Y4n3qhKoeq4zhJM7j,2,2,sKsoFARg9JKdyKE7G,2022-01-05T23:23:44Z
FEFRwnPwLHhYCD2hp,180,180,BA7H73tQkEWRLTEDd,2022-01-05T23:23:44Z
9ehWEoaCiFP7G7oWN,nov8,779220FA,ikipG5Trey3TZ4ASb,2022-01-05T23:23:44Z
szoQvyeBFJtD3bkAd,5,5,35Zk8gACoSRTYnQcS,2022-01-05T23:23:44Z
Gh2rD5yXcdPNSJ33F,40,40,oubFC8JR4ANaCoHQd,2022-01-05T23:23:44Z
gH3kSrDqrmT3Tot3o,2,2,uR3hqbNaW2YJSTQcd,2022-01-05T23:23:44Z
SyoMcXXQzA43ownGc,180,180,K3gC4XkPePZNhoctg,2022-01-05T23:23:44Z
v3j7zHpjRWYPTXdsP,BoS,BoS,fJjrnb5phcSwW3bXs,2022-01-05T23:23:44Z
THvkveENcj2DnebPQ,PD,PD,fJjrnb5phcSwW3bXs,2022-01-05T23:23:44Z
