_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt,data.justStarted,data.roleList
GnMyShfHu4LomZLYa,2022-04-13T19:04:30Z,GnMyShfHu4LomZLYa,ttbogRzNsNbP7GfYM,"HQG57r7iTSptzQdE5,twws2CW29cWs2wZpr,KGdWM3vjaHGFYPFM3,Xso4YaFx72bJ4Svby,cZ2b3EhdLF3HSbuws,sYwavdx74FoGdGa6K,n8JjhhJE6JYtNGGMw,cM984BucQbaNxu73H,nJQFYjRfg62Xa9s8f,KutWtaKzFZKM2hdJo,qrnPvhAEBDp785odu,AqHjk4RC2y6B2J8u4,4exy349MtGsB64Dan,K8JjbdsGgPPefHK8x,Svj5qkCPMWzGreyFK,G2XgHfSQf5eugk33A,JJQBpfCNY4h67NF8T,s7QXB4Swwn77z3ime,hWR2NsnNEoDJfmcpo,mbhaYqBnhFcLdWF3P,PYN6FGhPGwLiqRMqJ,4gnRy2J4DT6jyNKLk,BRS9cKT6Y3Rm2QKeh,wJiwaDwBPXqwPmSEn,njc6YNoG4k7FhugCw,BrotFhD94Ncrcxqoz,zbhJubdhv8Mzfxrk4,Z6nsYkbMvWgLoEYb6,RhcAzBj5bwDYJ7cTn,g8HMdPrPFwYAep8tS,aBJf52urHrakSuRHw,CsTQpEZbPMPYTcJGt,HWhnRh9y29Sm9A9Qp,BkB6qTijCNf5832ab,nCMm6teDEdn7C2AAQ,cuei3gyZyM4j4gYYz,HPJBteQhMaxZpBG5W,ptpKvh7m62TYTz3ZG,Y5mBZGmTT8SWfogdu,SzgNqeMRt6d2sQWvN,Fib3Kv24kQezryZNP","RWemhuMYyr86Szqqd,uR9TLdRXHghePQpCT",Kw4BEHazaPhiWiBHW,2022-04-13T18:54:57Z,false,"{""RWemhuMYyr86Szqqd"":""p1"",""uR9TLdRXHghePQpCT"":""p2""}"
bqoBFDfSXyMdXrgp7,2022-04-13T19:05:20Z,bqoBFDfSXyMdXrgp7,ttbogRzNsNbP7GfYM,"Ri5hNwTrKAu4WiS62,kgMqLgfMnJLpCAyCC,LhgiQjYeKaRzv3nX2,Yp2oqLBr6PocrcfMk,kxMGoghtcbj6nnAxY,MJfB4kkGMmLY2yFdB,C7p5zBgmTi6xx9iQX,Chs9uNpcoMEQMFczn,LpTvKhp3Sq4o2Ri7x,bQwjSD6bW3aJeKmJ2,HsDKuFmqY7hv3CnqR,545dQtacm88fAQSHZ,QMahK8z7Ep6aGiSuf,TzB2e6dPqegYDRahy,CKvmYdNrAxfg2Wd9Z,cGsmEvF7t7eEDqsym,Sy385zn2j9eHFAeuP,tzeYn3vLB7vfsCedA,83xGsWH9xfWgzjwNS,Quk8Dt2LbCyA9CQSM,d64cdPxMeRCKa7ah9,QXQLTdhe543XTKQAm,SM5YJ5uqKGkAdRWiS,xGptLYhXi226t935h,pkSeyQSdFWKhGH2J2,4F3uyLJqsGqBPeudK,u5q4Sav5xGLFapKSH,w2hH28MrMkYBBMocK,6hrrnxkmDq5Jb85BH,D7iZweBCz3ouqRpRu,RHirMWBDshKX4eHDL,ZFReHYenBrkxWmSBk,rvjxP6Xt8R9rEjHZz,ATRfWQM4MYjrhdQLE,9amAL9Tc3MCA6xR7y,ZRB6K5fnvf5fF8L2J,HkpsTXegJQq2sHyCa,CfiECW9fLp9Qk7nmQ,khNLCNp3vvsT4nAqS,am77op7LYcp6QhLW5,6cquGzhWf6Kvwejkn","AJrLDRkYewARNLBXX,DydiA4GyXuT3MaLTL",vkmZG6yyJD9sbnTKA,2022-04-13T18:55:06Z,false,"{""DydiA4GyXuT3MaLTL"":""p1"",""AJrLDRkYewARNLBXX"":""p2""}"
PnYpdspriuwW2qgfy,2022-04-13T19:04:49Z,PnYpdspriuwW2qgfy,ttbogRzNsNbP7GfYM,"9LwHnQTLfqmSMqy8Y,FkJZqhwgmfpSnxwyG,9F7MoTsz3pDPWedzx,2YoofjyjYFEfLrm7L,vxPmHrp3JRdnzbTRG,bxXPPE8c6CKqDrCxA,FPCLvF3eLKwWpyPQ6,TMjAfrPhJ79JNHc5x,6Q8i6BgeL4hv72AKf,x4A65Hfnd6Lb2z764,vcKfz3uiFJrxbRumz,E5shoPkiWmF8piTrN,gS9XMTgckw7PiEF6j,SbbxkHJnN37m8Wjut,rdK4vav3Gois6LfhG,38TCjzCbvkeW8LwJD,k2bSCAaHs6gym3uqk,cpM255C8ydEeud8oS,dsJJ6fzH5drmbBJhf,gsgSpiq9Ehopxdczj,xtccfnTDKsGSRPRWG,nrRLRJhdrQ7zwvuA2,sYwtSwYAoc8yGxMP7,mZGinFqLBKyJBzxfC,zDvGMP8oRmSdzZ8wf,sxpdhd5htnyzCF4k6,fb8T6dcyPkDgHsjiF,RQ2qYKNwMdJuvxQuc,8hJp7x8A2GD5hm9wQ,24hzhsgcDZWkHygeK,84geZBSdHdBoNXmi7,RCh3Ewv4J5aks7QfW,onngqjfBE2m2EE8Q3,WGDAu7pbLwBFxa3pm,cjLrMvZr7cL8Wi7gR,AjPQWqE8KK4o6px5M,fk87jsEoGecfMqv52,YMPfHwQwYE69Aezwa,HF6QiZ6DyRef8pfpF,kDQvxJyBGF5WAa458,zASjHc7c96bqqPn2D","5hYfiphAvipm726nu,8Ltw9wPLZj2WFSEfk",f7DvKSJrvzKhyafin,2022-04-13T18:55:27Z,false,"{""5hYfiphAvipm726nu"":""p1"",""8Ltw9wPLZj2WFSEfk"":""p2""}"
t96xRCJMgXsJBHhzi,2022-04-13T19:05:22Z,t96xRCJMgXsJBHhzi,ttbogRzNsNbP7GfYM,"oDsprca8PbwQJu7SE,QPDzGH2djtX5CenJs,sywEzc2ZwnCXhCjWR,QqoLr2uFsY2mFZYm3,AZGuSPYGJ79For48W,ZvPSjxiPKMisQcoGw,GbgCPkGQ6MjrWF2wD,EZDj6bQjsdHxtvJQB,jSG4qWCR2WyuWQZBf,Aa8YuKjFXjDRuGsoj,2MewXhqZeYsLKgDds,ueqpE645PjK9AfJtJ,KPz737xQBQWmfDTY9,nAFnymxHeSdeL7DoS,ECbNtnAF3gMwnnjBy,9MaJASayQbYmEimCN,ASq9YhHhqj7bvuxre,sYSDvkTgge5wnXwgP,cmgj7rFcGx5JLLhB7,bGDCS3ru6fJ7eYgau,9uD5E46wbFxSz9cEe,ijEN3oGEYqLoQpusT,XAZeRg7YJCBGR78v2,J7pe2ApStpba9kmMM,6WPLRkdzN3TCRuFkg,zwbXaeF3dYLPxyr2H,iKjsmMm5raL8b5Sju,BkyhjEWmixZEcL9HG,MPmBBj2cMKxJcZrbD,smDDvtHAiaBP4JDTn,MZs9jmozsL3EyZgTx,YRSfhDir4iZu3mX9E,3qrC7Ga6hveBEoYaq,kEv7kvi24bvNvwjvC,QTBQFjAifvxN3TR6T,rbsKHisNknhxNwfhJ,YqzdJzSjbhtXEzEem,4eZCwLvnnEQTMvGps,P7jiGjGwXacM5zLpH,cNdYhdQx6bziX4E5j,g9puEFShP7cdWCs63","8vThJjNzMfmhJJckt,SSBBbF9X5QnsCjawX",NCYqMJNjrZKGX4qyX,2022-04-13T18:55:33Z,false,"{""SSBBbF9X5QnsCjawX"":""p1"",""8vThJjNzMfmhJJckt"":""p2""}"
CZ8jAt9v8z3Yp9Nn7,2022-04-13T19:05:20Z,CZ8jAt9v8z3Yp9Nn7,ttbogRzNsNbP7GfYM,"huaejwRGRfExb3dKE,R5iENxgnpaCF5s8dp,9MPKwijyaqPL8rKxc,twWAe5zzAJv5eghc5,ucDJDnmSQErWpszE2,YktzEsiATYtmTxT4x,uDzGuLYHYLKcEZueA,dZEsYMYdYXTuBX26S,GdbjKfqyTbNkAZcwv,aqZXNgHuPPR9eaWSS,un7E7TBzh4YTDXghP,s8Hv6yYsCp8J6apf3,FGt9Bnizy4JFNQsWR,sz48adAzpK9BsdEyv,HXrv9mHMdumaZ5RgX,PFzi5eQQNwaZD96Tn,orQ85EJY7M2ypisS2,6PJ5BD6mhT4QKmQRz,RGuh9a7LAkBsRdKyX,bNTCQJCPFrjonTjZT,viBwhQxMeHYndshHg,EGiKzqdz3AhjzNJMQ,w5ShWsWir2rgfyHb7,ijq594ZbXE5zkcAaS,AWMvysFdupDxJDWLi,vCwZGmtFWDeaSSSH2,vCDMtAyDFafmLYpRi,M7xM6JGPZZEwucmso,wLBrgBYsKLQTFJtzr,gASvJ9f6SCH2jChK8,rh5WjmPhLb9ssCQmt,xcDa6jgCbn6EbGeME,JCdRNzPys4ZFhZnXr,SBrbBghYEEBxNA5d9,d5qZmuJ5F4t6726pk,DpkrNaorYbKTCwZ4w,ZnaBm5WaHabo9BLsm,eRj4G6pDX7otiYLGb,BAEgYquYv7ctXZ2Xz,T8mLLwGCyjjE8hBi7,o224Wzm4hJxxBnCb7","phrcawmaiMANbJD4i,vSEm2nuHMH8Gk85Em",uugTSADqm58foTry8,2022-04-13T18:55:39Z,false,"{""phrcawmaiMANbJD4i"":""p1"",""vSEm2nuHMH8Gk85Em"":""p2""}"
rB2yM9uzEnmcW3MAc,2022-04-13T19:09:13Z,rB2yM9uzEnmcW3MAc,ttbogRzNsNbP7GfYM,"Zo8zcBu8aGm2J6BZi,CXdXhuzNNb8P8Z7M7,okc2hfjir6vpoQmXz,YF9W4jQe8Pr8bT342,PdqyLDTcH64stNLJL,qhQcEE5zdxcxXnYyp,KSZG26D74tjB2rN5m,kXGADTNMPrEFg6Gcn,cJMqNXoFwAEuuk4WW,v5EGREvxSAJDHCt8R,CssAxQKicRXhYF8dE,ubqPXmasRDwpaePG4,x4EEsBqfZhGnFm4Th,8s9D2RxkEQGevbJzy,3p4Co56wCbfn4kGJY,XvpDSKoCoePS4cdX3,nKLM4qYKbeu8Nptne,ZmpMei5mujGgpNS2j,XwRFa2uNHSaELCmQy,7pSo5YovRke2mBCu5,v2MDyxvhzDb5k2fBu,32p5EXahwy5QQS6LA,oCvkJ8bn7iCeEdnM7,LsswRPPugDv9ftuAB,gSSe3m9wwqbYxes8J,Lm3gtTiMWHFmLciEs,RnWxvdNPBEcvgTPsg,oQsAXNHKYuhgXJxur,h4gZuidYisXjr2SRw,vqrn52WEXSLvDzWjb,PQazzDQodndnCxoz4,J3Dt4wP779mH8PrSj,ui8ahzAnhWz54PFap,wzYByyKQ5qxft2C5s,K6CzYXMnq6z3tm536,5qMPjEEbvZRtnJEiM,SmTW5eFnHrddhqGTw,CtwaoKzAqPrnWRfFK,YqeBNPhYPxXxREDmG,r4oyoSTS3FMB38FCn,HPADpBbA5revKWTGs","rEiAg9Ybs9pFdv9Pv,zANW57pB3TaNFu8mL",jH82SNgsEFLk9BrW4,2022-04-13T18:55:47Z,false,"{""rEiAg9Ybs9pFdv9Pv"":""p1"",""zANW57pB3TaNFu8mL"":""p2""}"
v86yXBQRg8qo3Y5bJ,2022-04-13T19:06:45Z,v86yXBQRg8qo3Y5bJ,ttbogRzNsNbP7GfYM,"NGvs9noEcv7WxhXje,PwqaTnizvhCapj9Fd,as3eKL8otNC45AF4j,wjPedYen8GgNLuGMb,scYSieb327FatGoN4,aEMmm2LvJMj5HNdrv,sRtaLtCehb6BZcHWL,kpydEycbmE2HBBZ6Z,aSZcYzYwKudTAk4RY,Ha2RwaTAT6kuBCR5x,u3dspibhrRYtXyBBF,9g9JzuhAiWJ35MsaY,qdYwvNqwewK2uqbzC,J8AjKHxyKmsNrgFiX,AWaHY75LkYujsngXo,EBnYZ2TcfeeR8fdhA,aiysk487zR4TurQMb,97gaB2Z8uTtajaHiT,f2ZSauNy2xv3D6oiq,8Qv9p82bEQo6mdDXZ,oosRvjN8B7PP6wwLY,ffzxCkfW8hPNX6QFk,X5sRonjwqRuz3TzTj,nK6XBvFXypWai5qDY,NTYSD8ocmSvECrDrE,T7m6kyEdXSwbbwzR2,RqYnio3gFa2k4C4ru,SmgtnxrcRYpPiEEB3,zrGcnofvuw3vzAHtd,tvCnx8iHAwvMor4iL,YJRuX7zRREsx4hFoE,JT3MXronz5XZcntLD,naSq74QeraXMuXgKQ,ga2eYRDCGZvGkHR7g,dejFz3maF8h9S5qAa,ATeg2ePqcperLmTao,CwQaMDtWYKXqqz5tu,AGYmLRoq3WkusuGgp,35vLCwgmQT5JNrFRQ,Bkwe7tyLQN8fgteTj,dMqFJAAWZj3TjLkfi","PmhhzXheSvD6qjgwB,T2ZeztYND6LedKpce",5nbvrcW6wW3sSC4Qo,2022-04-13T18:55:58Z,false,"{""T2ZeztYND6LedKpce"":""p1"",""PmhhzXheSvD6qjgwB"":""p2""}"
z9ecP5dKFTzW9QT4y,2022-04-13T19:07:11Z,z9ecP5dKFTzW9QT4y,ttbogRzNsNbP7GfYM,"eLdgc3fbgBvG3vAA6,Fjve4vvQTDNbttTAF,NwGfmBkE9CcwvyDKK,jB8SFPPSPB9JMJGfF,4ctX2pxYf4Dhcz75s,kseYAk8Y2XZ4h98ro,X8opzztDSLWy2wttZ,fvxo5Z5onupEuYRp7,XZ5ev2vWwbzCKRTDx,nKS9Par6crsSTLs2e,qrwxQaS9Zh7rHXn3P,K8LEW2cqLmJQuKXBs,EKZYyJHKNgpgw7rdX,Lm9zgXbfvHBBq9L94,uNAGzRMDEPqYnamra,3uExMsKR9FJWNEg3j,cZvQSTiQSQWwWnAWN,c9LLeBncXZi2ZCJ5P,ZhH7rFKdgq6qyyxeg,Hv4YBiJMfTSSWzn9T,4GrjsFBAzYzp3B2Nw,pBsCjdt6rTirpnT2r,6epGGsoM5JCgD8Qdh,7NNnBP45QZhYMK99u,or28g86ZtXf6ujhEo,waWFT7E4vow7R67e8,Wo7pLtf67sWoaHB3G,pgEwbHMyjJPtMuqTg,Nk2xT7rLXAK8RiBxD,8eAQ5fWZfw6PRfEmC,HTyHdxbnhjpdypWpj,frTWS8NfC2ADrwkig,TCuZSm69XzoB7un7e,HxsaC6F2SCEkKo569,Evrfg6hFygzyD4HqR,BT3v2RgeLicJtDHtW,TFiett6pRbnSuauAM,357pCgLzfF4d6zdXa,RoBnBZyomEwfAHCz7,8xZxMssqKEdWodtNj,wRWHbG242Jjz6EvKZ","LuHGFoxiqWGtuNg7G,fWzbgdno98aYJSWAu",htHWvrMXEmRbdzHkC,2022-04-13T18:56:22Z,false,"{""fWzbgdno98aYJSWAu"":""p1"",""LuHGFoxiqWGtuNg7G"":""p2""}"
qxfoYBdnuiJE3ibEs,2022-04-13T19:09:27Z,qxfoYBdnuiJE3ibEs,ttbogRzNsNbP7GfYM,"dL63Syrs4GfMNwYKK,5a497L6uSHbuH8ndH,8Mr9hntZx5RbfKwLn,yvuyryNYrnzqTtN5g,idjAS5v4oNAejGw4w,km94rMzJHp9bA6gTX,z44NHwrmjm5ytszxy,hb5bFKQ8aTs8c2GAS,FPGka3DhwgpgThpYH,WGdow233QHodwT39L,23wgTBFBwE5aZqvwo,k2CaCT3bPngEhTqiN,A9SPgtQCsie6zSpBZ,r2ZiqLQo5ATyEF6pv,MwtAqknK7mTNHa3nj,3rApp6viLHTrk86Nu,oPMRuQ5HgHcaSDe8H,r8axbLoBTjJnjabNP,fGP6gqkjWgs4KTHwo,y3dfM8mfCcHDNjCRP,5CpqXsP3po22Ybkcs,KSzmrZQE6N8nLGHqW,oyi5TBx6Tx93LaZvr,hTevFhCtx7oHrmBmE,LnvYs67k8Ni3C69x9,mpmb6RdcunE6Knf4N,fghZYg6zgjBsqAaD6,q7b4CuTsuqScrXhGE,R5hjqQjXHQiuJYuG7,abgik7pSyi65Phevq,ZW4rHk34FWgCqqhQj,5ioFo4TjKqQM8vqqB,Seb7GxqLiA3tH2qER,qka8R5yMmQD2HeEEK,zv5zkWAmqmByAAXJh,85hdE87kgKRSmJi4h,YF7hWinABecwm8vPK,dbaXnxtCik5EAhgaH,Qzs9bafN7LbLNtzBL,o26xyZTinhcvAp5yr,zwRpXdkPgWeGKuCWG","5iRWyjjYE5GgCEF3u,YHExs9hQipWbAZrS4",Kc5pJo37A3QCykttj,2022-04-13T18:56:34Z,false,"{""YHExs9hQipWbAZrS4"":""p1"",""5iRWyjjYE5GgCEF3u"":""p2""}"
3eKXeBnSZTmhZPDoF,2022-04-13T19:06:54Z,3eKXeBnSZTmhZPDoF,ttbogRzNsNbP7GfYM,"oN7euyNLYEdcQnXPR,oqq5L4XzmuSEsdWWJ,hTibvN6vbuHqm88Y7,FWJ8uouLvuuTnY5ZT,6mGYMEm682aD9J2Zo,u9qfuu2QtgdfDK2qu,o8M9CxtvQzcX2HXEG,ubKSLtgFjkvuBzSjN,kq9zFCwSQft5jfrDW,7jh4cae5k2SGTd2LR,hKomky3EtCwGKgzq8,KM5WPE8hM5yL3NnXt,Jg9vjuXoYpoyePDCi,8BGP3WiCYYTRrW2gK,cbXWyTErMFjm48sF2,XXLCWG3tzizcX2i58,TLZmg4yFAgMgCrpaD,fvknFtxxk9Y8HvcB8,krs7t5xy5PnPjuJ9f,b4J4Kiwv2sGh8m6gY,7bWbvmg9hvmY7ADk8,3GcESeenXqWT2ogLk,34KBraax7PyA5moH4,Ej5Z2iiewsa9G2wTE,P95vRk9ubAq9nm3gR,yEs6v7oxRJ7PcHNxh,T7GykpNK4xAgZpeCX,QkcANJunDb3hy7omA,WSdaEJ9AzsAmcyB6h,Ss6dDZKSdQnaF5Ye4,Tx9wECgNfTBGyQEfy,EFFN4srtaPeasHDgx,jNGvQetYgkDsamgN2,7Z5ZWJ6TejbMXNYyd,73KcebCkhnQSYPjJL,45NtnH9LvSSYtybWh,ZiMd3HwHfeTq4XNF7,StbkDPaGZzkCQ9R3T,QXvmh8eTFbkfxXB5T,AuKByqfRsqce97W9h,FPbHiqTjTsFnTsLNx","avkXEjTHe5shtQuC7,m4k3yiv3A2tSmTPmx",n6LpzaXcYKrgDP88A,2022-04-13T18:56:45Z,false,"{""m4k3yiv3A2tSmTPmx"":""p1"",""avkXEjTHe5shtQuC7"":""p2""}"
