_id,playerId,gameId,createdAt,data.age,data.gender,data.language,data.raceWhite,data.raceBlack,data.raceAsian,data.raceNative,data.raceIslander,data.raceHispanic,data.education,data.correctness,data.human,data.workedWell,data.fair,data.chatUseful,data.feedback,data.time
FzWQ6GjGYFiR6e4Kq,RWemhuMYyr86Szqqd,GnMyShfHu4LomZLYa,2022-04-13T19:05:11Z,19,Female,English,true,,,,,,someCollege,yes,yes,stronglyAgree,Yes,Yes,No,Yes
bJq9bygmMZYnkAQiX,uR9TLdRXHghePQpCT,GnMyShfHu4LomZLYa,2022-04-13T19:05:21Z,31,male,english,true,,,,,,bachelor,yes,no,stronglyAgree,Yes i think i was paid fairly ,yes very ,na,yes plenty of time
BhYxMaauqFPcBQ5FN,8vThJjNzMfmhJJckt,t96xRCJMgXsJBHhzi,2022-04-13T19:05:56Z,53,male,English,true,,,,,,master,yes,yes,agree,Yes,Yes,No,Yes
M8tLFzhZpYSGNTBMy,phrcawmaiMANbJD4i,CZ8jAt9v8z3Yp9Nn7,2022-04-13T19:05:59Z,19,,,true,,,,,,highSchool,,,,yes,yes,in instructions site was reloading all the time ,yes
FuqxheFnGmEztkfN6,vSEm2nuHMH8Gk85Em,CZ8jAt9v8z3Yp9Nn7,2022-04-13T19:06:02Z,42,female,english,true,,,,,,bachelor,yes,yes,stronglyAgree,yes,yes,none,yes
NKxXo8dTHLMynCieu,AJrLDRkYewARNLBXX,bqoBFDfSXyMdXrgp7,2022-04-13T19:06:04Z,33,male,English,true,,,,,,master,yes,yes,agree,Absolutely,"Yes, a bit awkward","No, really interesting if it was a bot",Yes
7JyzKTuA8L2iWdC7v,5hYfiphAvipm726nu,PnYpdspriuwW2qgfy,2022-04-13T19:06:07Z,28,Female,Polish,true,,,,,,master,yes,yes,agree,"Quite, though sometimes the other person tended to chose what was best for him","Yes, it was nice to make it clear that the other person was a human",All smooth. Interesting study.,"No, definitely could use more time."
YEk8mqSi5KnFQbxFM,SSBBbF9X5QnsCjawX,t96xRCJMgXsJBHhzi,2022-04-13T19:06:42Z,22,non binary,french,true,,,,,,bachelor,yes,yes,agree,yes,yes,no,yes
MYQo66D7Gu4NZPmBt,8Ltw9wPLZj2WFSEfk,PnYpdspriuwW2qgfy,2022-04-13T19:06:43Z,52,female,spanish,,,,,,true,someCollege,yes,yes,agree,yes ,yes very easy,it was a nice experiment,Yes it was enough
zfkxPjLX5fehmuSC3,PmhhzXheSvD6qjgwB,v86yXBQRg8qo3Y5bJ,2022-04-13T19:07:38Z,49,Female,English,true,,,,,,bachelor,yes,yes,stronglyAgree,Yes,Yes ,No,Yes 
