_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
daLFR983NRsXs8MyM,1,simple,true,2022-06-24T17:23:32Z,2022-06-24T17:42:32Z,finished,,3T3cTtkeNqwJBkAQc,2022-06-24T17:23:27Z,2022-06-24T18:28:24Z
yQHaHwke9cuFFGdX2,2,simple,true,2022-06-24T17:23:33Z,2022-06-24T17:47:29Z,finished,,8RRJwSJteRcMqy2NW,2022-06-24T17:23:29Z,2022-06-24T18:28:24Z
vhYAqG77CfMAAtQhY,3,simple,true,2022-06-24T17:23:34Z,2022-06-24T17:38:10Z,finished,,69NqN5AEWaqivqkvE,2022-06-24T17:23:30Z,2022-06-24T18:28:24Z
F8Mzvqcha4igRwe2x,4,simple,true,2022-06-24T17:23:35Z,2022-06-24T17:49:02Z,finished,,Aa9g2BP42xbuy29DX,2022-06-24T17:23:30Z,2022-06-24T18:28:25Z
Z8NocjNuXhacqzq5t,5,simple,true,2022-06-24T17:23:35Z,2022-06-24T17:34:17Z,finished,,qKT4mpN2jnBw3j7Yj,2022-06-24T17:23:31Z,2022-06-24T18:28:25Z
P36YrpZ77F4886A3b,6,simple,false,2022-06-24T17:23:36Z,,cancelled,,T8WFxEBQAJPBx89ve,2022-06-24T17:23:31Z,2022-06-24T18:28:26Z
DADhFs8RFmJ6WjQQn,7,simple,true,2022-06-24T18:28:49Z,2022-06-24T18:43:57Z,finished,,f2mNy7LXjEnJhJTDi,2022-06-24T18:28:35Z,2022-06-24T21:28:15Z
SHaKfhDduWqh5DRi5,8,simple,false,2022-06-24T18:28:57Z,,cancelled,,AnqhBvbAB7sxuGD8a,2022-06-24T18:28:39Z,2022-06-24T21:28:15Z
ATcCThpzAjaLKuiLE,9,simple,true,2022-06-24T18:28:56Z,2022-06-24T18:54:41Z,finished,,8FLQprtZbKpivNCRz,2022-06-24T18:28:39Z,2022-06-24T21:28:19Z
azsTi8QoJYDTLyBh9,10,simple,true,2022-06-24T18:28:56Z,2022-06-24T18:46:47Z,finished,,4ZrfCBPR4KxkLGBsq,2022-06-24T18:28:40Z,2022-06-24T21:28:19Z
oAd8CPXG6TioxzQ38,11,simple,true,2022-06-24T18:28:55Z,2022-06-24T18:52:03Z,finished,,9Q7YMvptphxmnS9gT,2022-06-24T18:28:40Z,2022-06-24T21:28:18Z
Qzz4Q6vEFMHNHi2BK,12,simple,true,2022-06-24T18:28:55Z,2022-06-24T18:47:21Z,finished,,9J7X8LkjgAZPbbJz5,2022-06-24T18:28:41Z,2022-06-24T21:28:18Z
jRjScybujsf8SnRAy,13,simple,true,2022-06-24T18:28:55Z,2022-06-24T18:53:37Z,finished,,NTvetXkvNKQL5JMpE,2022-06-24T18:28:41Z,2022-06-24T21:28:18Z
QhokNDHdNHZg7wZck,14,simple,true,2022-06-24T18:28:54Z,2022-06-24T18:53:30Z,finished,,LycsHXmDaKimnQRKF,2022-06-24T18:28:42Z,2022-06-24T21:28:18Z
fuyBsDCYCeaMF65QG,15,simple,true,2022-06-24T18:28:54Z,2022-06-24T18:43:18Z,finished,,myfd9iE5S87qz2Luc,2022-06-24T18:28:42Z,2022-06-24T21:28:17Z
WALWy66rP7rAeteDt,16,simple,true,2022-06-24T18:28:54Z,2022-06-24T19:20:51Z,finished,,rABLTfmALBgGnFoKQ,2022-06-24T18:28:43Z,2022-06-24T21:28:17Z
WPkFnydDCCuuMibmq,17,simple,true,2022-06-24T18:28:54Z,2022-06-24T19:11:55Z,finished,,cEot7FpNhJuLvHdT5,2022-06-24T18:28:43Z,2022-06-24T21:28:17Z
wRDKCiJ2BdtDvFmrz,18,simple,true,2022-06-24T18:28:53Z,2022-06-24T18:55:21Z,finished,,F6x3kNgpG6vW53yB2,2022-06-24T18:28:43Z,2022-06-24T21:28:17Z
atYSgiwd9jaYHbzoe,19,simple,true,2022-06-24T18:28:53Z,2022-06-24T20:39:28Z,finished,,7NRYdsjTpopyY8dfE,2022-06-24T18:28:44Z,2022-06-24T21:28:16Z
nMqmpT2Jw65WhM7Z9,20,simple,true,2022-06-24T18:28:53Z,2022-06-24T18:40:42Z,finished,,GMZpBSKepZ3xYzBu3,2022-06-24T18:28:44Z,2022-06-24T21:28:16Z
Kjwtsmn3MgxaTcJPj,21,simple,true,2022-06-24T18:28:52Z,2022-06-24T18:39:56Z,finished,,Cx2CsArB32A6HXPyJ,2022-06-24T18:28:44Z,2022-06-24T21:28:16Z
7cHP5yfdrtF8Dvy6m,22,simple,true,2022-06-24T18:28:52Z,2022-06-24T19:02:46Z,finished,,FRwRN2so2DZGywk35,2022-06-24T18:28:46Z,2022-06-24T21:28:16Z
bduW8LMjQHdJCDGAw,23,simple,true,2022-06-24T18:28:51Z,2022-06-24T18:42:35Z,finished,,XY5bWrbXRRS2utfyE,2022-06-24T18:28:47Z,2022-06-24T21:28:16Z
uP44GW6wNAHZ5vqyd,24,simple,true,2022-06-24T21:29:08Z,2022-06-24T21:41:05Z,finished,,ZCB8RznsdWZjzQgYd,2022-06-24T21:28:49Z,
o8NymTS2R97dcRgNL,25,simple,true,2022-06-24T21:29:08Z,2022-06-24T21:41:55Z,finished,,zrGPBP2b3rRKeY8ck,2022-06-24T21:28:51Z,
y44r2YLRxE89zqGcf,26,simple,true,2022-06-24T21:29:09Z,2022-06-24T21:44:19Z,finished,,An7iDHsW2aJ9P5xNs,2022-06-24T21:28:51Z,
oTE9tgsnJqpqGH9KS,27,simple,true,2022-06-24T21:29:10Z,2022-06-24T21:42:51Z,finished,,szPxqxHLgkTjjBmfZ,2022-06-24T21:28:52Z,
uL24DFw9F6jjrfdwj,28,simple,true,2022-06-24T21:29:10Z,2022-06-24T21:45:29Z,finished,,mJHDn5YQvPxDfSMK6,2022-06-24T21:28:52Z,
RFAz4sxNk9TMdgCSJ,29,simple,true,2022-06-24T21:29:10Z,2022-06-24T21:42:16Z,finished,,cWxBSvnqsiapTBeLN,2022-06-24T21:28:52Z,
veTWHrRgygeSkEdhq,30,simple,true,2022-06-24T21:29:11Z,2022-06-24T21:45:17Z,finished,,aqTgFeDJedmHsJdN3,2022-06-24T21:28:52Z,
fDaFtDWyPNJ5Yizz8,31,simple,true,2022-06-24T21:29:14Z,2022-06-24T21:43:19Z,finished,,PErsMjjrtDA2gq7Ns,2022-06-24T21:28:53Z,
x9rtsozaMqXJhBytA,32,simple,true,2022-06-24T21:29:15Z,2022-06-24T21:43:05Z,finished,,j324rhioRDuzYkYJv,2022-06-24T21:28:53Z,
5njBCjM95k4e75L4W,33,simple,true,2022-06-24T21:29:15Z,2022-06-24T21:42:13Z,finished,,ZS6fWvvwZnrq6Cu38,2022-06-24T21:28:53Z,
