_id,playerId,gameId,createdAt,age,gender,language,raceWhite,raceBlack,raceAsian,raceNative,raceIslander,raceHispanic,education,correctness,human,workedWell,fair,chatUseful,feedback,time,strategy,playerIds,game_cond,chat_cond
YAbXkaoDMbiqa2JuT,a9XP4ypM8jtsnidcA,3T3cTtkeNqwJBkAQc,2022-06-24T17:43:11Z,23,female,english,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,agree,yes,yes,no,yes,be nice and not greedy,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
HRcfGsPdbKSrozznD,5vcmk6fyRsw7m6edH,3T3cTtkeNqwJBkAQc,2022-06-24T17:43:43Z,33,male,Greek,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,Yes,Yes,NA,Affirmative,Try to keep it balanced,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
JRkTdQxrd9RqSXahx,MWF9e2j6kJKX5ujax,8RRJwSJteRcMqy2NW,2022-06-24T17:48:20Z,19,Male,Polish,TRUE,NA,NA,NA,NA,NA,highSchool,yes,yes,stronglyAgree,Yes we got almost full bonus,Of course,Nope,A lot more that we needed,Choose the best option aviable,"MWF9e2j6kJKX5ujax,u7MHB5vzLN9eK9ZcS",jun24,chat
rW9Jb7FvjifMrcs5r,u7MHB5vzLN9eK9ZcS,8RRJwSJteRcMqy2NW,2022-06-24T17:48:50Z,51,female,german,TRUE,NA,NA,NA,NA,NA,lessHighSchool,yes,yes,stronglyAgree,yes absolutely,"yes, very comfortable",no,"yes,definitely","me and my partner worked together very well, so we both got the same pay at the end.","MWF9e2j6kJKX5ujax,u7MHB5vzLN9eK9ZcS",jun24,chat
yNC8W2KMtXqEB6sEo,WQ8W2Gs4Nex39WNNm,Aa9g2BP42xbuy29DX,2022-06-24T17:50:30Z,33,Male,English,TRUE,NA,NA,NA,NA,NA,master,yes,yes,stronglyAgree,yes,"yes, was very interesting",No issues.,yes,"One person was getting the most out of every other box, unless both boxes were quite equal","6PcLgv3xsT8Kr2pMR,WQ8W2Gs4Nex39WNNm",jun24,chat
XuXBhLLYFQJPgse7w,6PcLgv3xsT8Kr2pMR,Aa9g2BP42xbuy29DX,2022-06-24T17:51:05Z,24,female,IsiZulu,NA,TRUE,NA,NA,NA,NA,someCollege,yes,yes,stronglyAgree,"Yes, it was.","Yes, it was.",No,Yes.,We gave each other fair chances to get the most rewards.,"6PcLgv3xsT8Kr2pMR,WQ8W2Gs4Nex39WNNm",jun24,chat
qBF2v8Y76oQK6A92H,ivjtGQJCekQNqGm8A,GMZpBSKepZ3xYzBu3,2022-06-24T18:41:40Z,42,male,english,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,agree,yes,yes,no,yes,maximise paymeny for the both of us,"H3w6ojCKuemy4MMc9,ivjtGQJCekQNqGm8A",jun24,chat
NNTmYdnEStjeJkQev,H3w6ojCKuemy4MMc9,GMZpBSKepZ3xYzBu3,2022-06-24T18:42:36Z,23,Female,Polish,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,agree,"Yes, of course","yes, it was","no, i did not",yes,I wanted each of us to get an equal number of points\n,"H3w6ojCKuemy4MMc9,ivjtGQJCekQNqGm8A",jun24,chat
uFWStc5Hva2hJkiE3,SZktpZKeiKfrsFPzb,XY5bWrbXRRS2utfyE,2022-06-24T18:44:18Z,29,Male,Portuguese,TRUE,NA,NA,NA,NA,NA,master,yes,no,disagree,Yes,"Yes, but it was not that much used during the game itself.",Nothing to report,"A bit quick for the chat, ok for the choices","Initially I wanted to make sure everyone got the same. It was the partner's suggestion as well: even if we got less than maximum value, everyone gets something. But the partner's strategy changed, leaving me with less at the start. So I did try to compensate so that everyone got more or less the same.","RMJgfEc4tcbKdnaYh,SZktpZKeiKfrsFPzb",jun24,chat
y6JTLzRgRzdB4nTFP,RMJgfEc4tcbKdnaYh,XY5bWrbXRRS2utfyE,2022-06-24T18:44:19Z,19,Male,English,TRUE,NA,NA,NA,NA,NA,someCollege,yes,yes,agree,I do feel the pay was very fair.,"Yes, it was easy to use, though my partner didn't really use it for the",No problems. My only comment was that this was extremely enjoyable!,"Yes, there was plenty of time.","I initially wanted to talk out every choice with my partner, because we could have maximized our bonus, but they didn't seem to want to, so we tried to just nonverbally alternate giving each other large amounts of points.","RMJgfEc4tcbKdnaYh,SZktpZKeiKfrsFPzb",jun24,chat
