_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
aRY7m2Y9dngufXtjD,,2022-06-24T17:29:17Z,,,"Sorry,ExitSurvey",2022-06-24T17:34:17Z,gameLobbyTimedOut,,,,2022-06-24T17:25:30Z,,,,,,,,,,
8LgAEaDSgyniBvzP5,,2022-06-24T17:27:47Z,,,"Sorry,ExitSurvey",2022-06-24T17:38:10Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-06-24T17:25:31Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,0.87,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,0,9889,true
u7MHB5vzLN9eK9ZcS,,2022-06-24T17:27:01Z,,,ExitSurvey,2022-06-24T17:47:29Z,finished,,,,2022-06-24T17:25:34Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.9149999999999996,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,3,,
5vcmk6fyRsw7m6edH,,2022-06-24T17:26:22Z,,,ExitSurvey,2022-06-24T17:42:32Z,finished,,,,2022-06-24T17:25:34Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.7150000000000003,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,3,,
a9XP4ypM8jtsnidcA,,2022-06-24T17:26:52Z,,,ExitSurvey,2022-06-24T17:42:32Z,finished,,,,2022-06-24T17:25:59Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.715,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",A,3,,
WQ8W2Gs4Nex39WNNm,,2022-06-24T17:28:36Z,,,ExitSurvey,2022-06-24T17:49:02Z,finished,,,,2022-06-24T17:26:05Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.285,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,2,,
gDEzcq9YqiXnH9Dte,,2022-06-24T17:27:54Z,,,"Sorry,ExitSurvey",2022-06-24T17:38:10Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2022-06-24T17:26:12Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.9350000000000003,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",B,9,8487,true
MWF9e2j6kJKX5ujax,,2022-06-24T17:27:18Z,,,ExitSurvey,2022-06-24T17:47:29Z,finished,,,,2022-06-24T17:26:20Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.869999999999999,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",A,4,,
6PcLgv3xsT8Kr2pMR,,2022-06-24T17:29:01Z,,,ExitSurvey,2022-06-24T17:49:02Z,finished,,,,2022-06-24T17:26:25Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.84,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,9,,
cXRC4Avo25hauPjsW,,2022-06-24T18:30:33Z,,,ExitSurvey,2022-06-24T19:02:46Z,finished,,,,2022-06-24T18:29:25Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,4.005,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",A,6,,
9Pk9GKS9RP8xPNtuG,,2022-06-24T18:30:09Z,,,ExitSurvey,2022-06-24T18:43:57Z,finished,,,,2022-06-24T18:29:33Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.345,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,7,,
3WP2kYQSoj3uKrdAs,,2022-06-24T18:32:36Z,,,ExitSurvey,2022-06-24T19:20:51Z,finished,,,,2022-06-24T18:29:34Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.825,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""}",A,3,,
YgnDk7f85uYDx2r7s,,2022-06-24T18:30:20Z,,,ExitSurvey,2022-06-24T18:43:57Z,finished,,,,2022-06-24T18:29:34Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.6250000000000004,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",A,7,,
djZEhL7HTnizSTJsP,,2022-06-24T18:32:15Z,,,ExitSurvey,2022-06-24T19:11:55Z,finished,,,,2022-06-24T18:29:35Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.5700000000000003,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",A,0,,
ivjtGQJCekQNqGm8A,,2022-06-24T18:31:10Z,,,ExitSurvey,2022-06-24T18:40:42Z,finished,,,,2022-06-24T18:29:35Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.03,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""}",A,11,,
SZktpZKeiKfrsFPzb,,2022-06-24T18:30:31Z,,,ExitSurvey,2022-06-24T18:42:35Z,finished,,,,2022-06-24T18:29:35Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.6550000000000002,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""A""}",A,0,,
