_id,gameId,gametype,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB,type,playerIds,game_cond,chat_cond
EcYfRfM4W47ZCRhXn,3T3cTtkeNqwJBkAQc,BoS,7,3,0,0,0,0,3,7,0,5vcmk6fyRsw7m6edH,3,B,p1,40.107,yellow-crate,aqua-crate,7,0,0,3,BoS,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
gmuFyKswE2SGEXoTL,3T3cTtkeNqwJBkAQc,easyPD,5,5,0,7,7,0,2,2,1,5vcmk6fyRsw7m6edH,5,A,p1,7.569,yellow-crate,blue-crate,5,0,7,2,PD,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
C4dCPKZGtPGbfMHM4,3T3cTtkeNqwJBkAQc,hardPD,4,4,0,10,10,0,2,2,2,5vcmk6fyRsw7m6edH,4,A,p1,5.283,orange-crate,aqua-crate,4,0,10,2,PD,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
moxpZMgpeeNLLNhP8,3T3cTtkeNqwJBkAQc,hardPD,3,3,0,7,7,0,1,1,3,5vcmk6fyRsw7m6edH,3,A,p1,6.365,blue-crate,orange-crate,3,0,7,1,PD,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
P7hoTWZDGzFzDL5yT,3T3cTtkeNqwJBkAQc,BoS,7,3,0,0,0,0,3,7,4,5vcmk6fyRsw7m6edH,0,B,p1,3.018,orange-crate,yellow-crate,7,0,0,3,BoS,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
rNeNa7ZLb6FdJjAz3,3T3cTtkeNqwJBkAQc,easyPD,8,8,0,9,9,0,3,3,5,5vcmk6fyRsw7m6edH,8,A,p1,8.179,yellow-crate,aqua-crate,8,0,9,3,PD,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
FwJvZD3BagQ9QM49M,3T3cTtkeNqwJBkAQc,spikeBoS,30,3,0,0,0,0,3,30,6,5vcmk6fyRsw7m6edH,0,A,p1,11.157,purple-crate,blue-crate,30,0,0,3,BoS,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
fcCGkNgoh2Dbmw36o,3T3cTtkeNqwJBkAQc,hardPD,3,3,0,10,10,0,1,1,7,5vcmk6fyRsw7m6edH,10,B,p1,8.897,pink-crate,purple-crate,3,0,10,1,PD,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
Gd335RadK3rSKRCWp,3T3cTtkeNqwJBkAQc,hardPD,4,4,0,10,10,0,3,3,8,5vcmk6fyRsw7m6edH,4,A,p1,5.221,crate,yellow-crate,4,0,10,3,PD,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
vS7HGkqxzbq6famyP,3T3cTtkeNqwJBkAQc,easyPD,4,4,0,6,6,0,1,1,9,5vcmk6fyRsw7m6edH,4,A,p1,4.863,aqua-crate,blue-crate,4,0,6,1,PD,"5vcmk6fyRsw7m6edH,a9XP4ypM8jtsnidcA",jun24,chat
