_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.bonus_log,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
x5zqmHdp4bdvxDtGE,,2024-10-28T16:49:09Z,,,ExitSurvey,2024-10-28T17:02:35Z,finished,,,,2024-10-28T16:48:25Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.72,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""}",A,0,,
tHEibiruKysdJbdKM,,2024-10-28T16:49:04Z,,,ExitSurvey,2024-10-28T17:02:35Z,finished,,,,2024-10-28T16:48:26Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.900000000000001,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""B""}",B,7,,
PeATkYFGxgpB48rad,,2024-10-28T16:50:22Z,,,ExitSurvey,2024-10-28T17:04:52Z,finished,,,,2024-10-28T16:48:41Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.2399999999999998,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",B,0,,
d2izbdscLwgNw7gxs,,2024-10-28T16:50:04Z,,,ExitSurvey,2024-10-28T17:00:59Z,finished,,,,2024-10-28T16:49:08Z,,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.5949999999999998,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",A,0,,
CozXKPmSBzHRb2ZSQ,,2024-10-28T16:51:30Z,,,ExitSurvey,2024-10-28T17:03:52Z,finished,,,,2024-10-28T16:49:16Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.6850000000000005,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",B,11,,
cMrsgw4unrNBKJ6S4,,2024-10-28T16:49:45Z,,,ExitSurvey,2024-10-28T17:00:59Z,finished,,,,2024-10-28T16:49:35Z,,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.6249999999999996,"{""image"":""/experiment/crate.jpeg"",""label"":""A""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""}",B,11,,
GKPTFKTnW9Wxzbhbv,,2024-10-28T16:50:29Z,,,ExitSurvey,2024-10-28T17:04:52Z,finished,,,,2024-10-28T16:49:53Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,3.255000000000001,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/crate.jpeg"",""label"":""A""}",A,0,,
vpTpvag5vWYLWvKjx,,2024-10-28T16:50:54Z,,,ExitSurvey,2024-10-28T17:01:48Z,finished,,,,2024-10-28T16:49:57Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.055,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""B""},{""image"":""/experiment/green-crate.jpeg"",""label"":""A""}",A,7,,
QCtsAeaHwup9TdGnm,,,,,"Sorry,ExitSurvey",2024-10-28T16:59:33Z,gameFull,,,,2024-10-28T16:50:03Z,,,,,,,,,,,
rTYLER4yfAhTYhbJ3,,2024-10-28T16:50:31Z,,,ExitSurvey,2024-10-28T17:03:28Z,finished,,,,2024-10-28T16:50:04Z,,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.51,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",B,9,,
