_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
4PGa4sc5ERvSsL5Zc,0,turing,Chat,2024-10-28T16:49:10Z,180,XinTa7yntxYCxJSvx,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""turingStarted"",""roundId"":""turing"",""at"":""2024-10-28T16:49:09.897Z""}"
g9oy5bi58LCcJihyk,1,selection,Selection,2024-10-28T16:52:10Z,180,8i9JFZQi6bm78MDnS,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:52:10.677Z""}"
KCDj7SK3DF7thST6j,2,feedback,Feedback,2024-10-28T16:52:21Z,5,8i9JFZQi6bm78MDnS,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:52:21.104Z""}"
MY6wa3n6bkzKyxmSz,3,selection,Selection,2024-10-28T16:52:26Z,180,w8rLAX6invoXnzESJ,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:52:26.680Z""}"
pAYMPREemhGNLQNq2,4,feedback,Feedback,2024-10-28T16:52:32Z,5,w8rLAX6invoXnzESJ,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:52:32.308Z""}"
nKAq86Tob44uFzsx7,5,selection,Selection,2024-10-28T16:52:37Z,180,vBMm55cAvjLWbjfct,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:52:37.676Z""}"
ByhuTREpGHzWhFbd7,6,feedback,Feedback,2024-10-28T16:52:41Z,5,vBMm55cAvjLWbjfct,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:52:41.690Z""}"
W3pgew8Yijx5WrHd9,7,selection,Selection,2024-10-28T16:52:47Z,180,sMgDRGjHuTKe6JZpB,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:52:47.692Z""}"
2Y4PQrE8e72bQB3bH,8,feedback,Feedback,2024-10-28T16:52:51Z,5,sMgDRGjHuTKe6JZpB,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:52:51.665Z""}"
c48eDx8FfDRZ5ZPK2,9,selection,Selection,2024-10-28T16:52:57Z,180,Rzd52zCWBKxHyWvZh,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:52:57.697Z""}"
mz747ztLqRccqFDph,10,feedback,Feedback,2024-10-28T16:53:00Z,5,Rzd52zCWBKxHyWvZh,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:53:00.723Z""}"
r4qsCkYjHywwgF4sT,11,selection,Selection,2024-10-28T16:53:06Z,180,X9Y4ZJkSbntHsSZM6,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:53:06.688Z""}"
SRmaHwcrfiwr2mvSA,12,feedback,Feedback,2024-10-28T16:53:08Z,5,X9Y4ZJkSbntHsSZM6,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:53:08.721Z""}"
J8LhBebjvFK9xWDxk,13,selection,Selection,2024-10-28T16:53:14Z,180,MvMkFB8CMY8sFjNZP,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:53:14.686Z""}"
RX9qraLHb3SJtMAD9,14,feedback,Feedback,2024-10-28T16:54:11Z,5,MvMkFB8CMY8sFjNZP,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:54:10.877Z""}"
WMgADE97RvpeD6ZDj,15,selection,Selection,2024-10-28T16:54:16Z,180,GpM7325AgEyGqm2QW,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:54:16.727Z""}"
8PPyGGzrxpWDuqqqH,16,feedback,Feedback,2024-10-28T16:54:20Z,5,GpM7325AgEyGqm2QW,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:54:20.479Z""}"
FA6zowLQwu2Ksawm3,17,selection,Selection,2024-10-28T16:54:26Z,180,gLehx8xQXcMAa4SZS,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:54:26.714Z""}"
wdzKMiQbzKv5KS6gK,18,feedback,Feedback,2024-10-28T16:54:30Z,5,gLehx8xQXcMAa4SZS,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:54:29.993Z""}"
7cYN5AiS987AjY8oa,19,selection,Selection,2024-10-28T16:54:35Z,180,nSjBXLenALvY6swSC,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:54:35.707Z""}"
Jb54digGEMXbmwtWp,20,feedback,Feedback,2024-10-28T16:54:55Z,5,nSjBXLenALvY6swSC,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:54:55.367Z""}"
LqnGe3aaC4o6pc76R,21,selection,Selection,2024-10-28T16:55:00Z,180,TKiAJFc6yK3JjhY3M,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:55:00.732Z""}"
24xXJ46KvuaYgiYS6,22,feedback,Feedback,2024-10-28T16:55:05Z,5,TKiAJFc6yK3JjhY3M,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:55:04.997Z""}"
vAj7ukTYErsvBw5Kt,23,selection,Selection,2024-10-28T16:55:10Z,180,GSAzzDb7hrRQgu4fD,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:55:10.724Z""}"
pE7jQ6GyB8RniCNDR,24,feedback,Feedback,2024-10-28T16:55:21Z,5,GSAzzDb7hrRQgu4fD,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""feedbackStarted"",""roundId"":""feedback"",""at"":""2024-10-28T16:55:20.973Z""}"
vYoangBTneRSSNcpJ,25,selection,Selection,2024-10-28T16:55:27Z,180,3SkYW2k32CXgoQwqm,qhjdNDGJe7WC74fqh,2024-10-28T16:49:09Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2024-10-28T16:55:26.749Z""}"
